surface,symbol,entrezgene or _id,ensembl_id,pdb_id,name
Neuropeptide Y,Y,OSTLU_119686,,,
Neuropeptide Y,Y,11272602,,,putative movement protein
Neuropeptide Y,Y,1260606,,,holin family protein
Neuropeptide Y,Y,5000537,OSTLU_119686,,predicted protein
Neuropeptide Y,Y,21011796,,,putative movement protein
Neuropeptide Y,Y,65101816,,,putative movement protein
Neuropeptide Y,Y,17494390,,,holin family protein
Neuropeptide Y,Y,55812402,,,holin family protein
Neuropeptide Y,Y,1457740,,,holin family protein
OT,ot,45342,,,outheld
Oxy,PPA32530,WBGene00205391,WBGene00205391,,Oxy-4
Oxytocin,OXTR,5021,ENSG00000180914,6TPK,oxytocin receptor
PI-PLC,PI-PLC,39868277,,,"phosphoinositide-specific phospholipase C, putative"
PI-PLC,PI-PLC,39732427,,,"phosphoinositide-specific phospholipase C, putative"
PI-PLC,PI-PLC,39735790,,,"phosphoinositide-specific phospholipase C, putative"
PIP2-PLC,PLCD1,5333,ENSG00000187091,,phospholipase C delta 1
PIPLC,PIPLC,7899514,TGME49_248830,,phosphoinositide phospholipase PIPLC
PKC,pkc,NCU06544,,,
PKC,Pkc,GeneID_406106,GeneID_406106,,
PKC,Pkc,406106,,,protein kinase C
PKC,PKC,100174947,,,protein kinase C lambda
PKC,pkc,3878409,NCU06544,,protein kinase C
PKC inhibitors,pkc,NCU06544,,,
PKC inhibitors,Pkc,GeneID_406106,GeneID_406106,,
PKC inhibitors,Pkc,406106,,,protein kinase C
PKC inhibitors,PKC,100174947,,,protein kinase C lambda
PKC inhibitors,pkc,3878409,NCU06544,,protein kinase C
PKC-alpha,LOAG_06588,9944004,LOAG_06588,,AGC/PKC/ALPHA protein kinase
PKC-alpha,,LOAG_06588,,,AGC/PKC/ALPHA protein kinase
PKC-alpha,PTSG_10688,16069189,,,AGC/PKC/ALPHA protein kinase
PKC-alpha,PTSG_06585,16072531,,,AGC/PKC/ALPHA protein kinase
PKC-epsilon,prkce,100135720,ENSXETG00000041283,,protein kinase C epsilon
PKCalpha,prkca.S,108702159,,,"protein kinase C, alpha S homeolog"
PLC,plc,DDB_G0292736,DDB_G0292736,,
PLC,plC,67505366,,,phospholipase C
PLC,plC,66264271,,,phospholipase C
PLC,plc,31365545,,,phosphoinositide-specific phospholipase C
PLC,PLC,59276082,,,1-phosphatidylinositol phosphodiesterase
PLC,plc,8628866,,,phosphoinositide-specific phospholipase C
PLC,PLC,19331384,,,phosphatidylinositol-specific phospholipase C
PLC,plC,67465268,,,phospholipase C
PLC,plC,59156454,,"['1AH7', '1P5X', '1P6D', '1P6E', '2FFZ', '2FGN', '2HUC']",phospholipase C
PLC,plC,68608104,,,phospholipase C
PLCgamma,sl,32601,FBgn0003416,,small wing
Phospholipase C,C,Os06g0205100,Os06g0205100,,
Phospholipase C,c,44802,,,curved
Phospholipase C,c,1258863,,,repressor protein
Phospholipase C,C,1260627,,,helix-turn-helix domain-containing protein
Phospholipase C,c,2715886,,,repressor
Phospholipase C,c,6654090,,,helix-turn-helix domain-containing protein
Phospholipase C,C,3959355,,,gpC
Phospholipase C,C,3959396,,,gpC
Phospholipase C,c,8658869,,,Repressor protein CI
Phospholipase C,C,8658831,,,positive regulator of late transcription
PrP,prp,ENSOARG00020011739,ENSOARG00020011739,,Major prion protein
PrP,PRP,100499693,,,alpha-amylase inhibitor/lipid transfer/seed storage family protein
PrP,prp,45436,,,prickly pear
PrP,Prp,ENSSSCG00050057010,ENSSSCG00050057010,,Major prion protein
PrP(c),CTRU02_06775,59360000,,,PRP 4 C domain-containing protein
PrPc,prpC,61281966,,,2-methylcitrate synthase
PrPc,prpC,64000254,,,2-methylcitrate synthase
PrPc,prpC,61323071,,,2-methylcitrate synthase
PrPc,prpC,58138337,,,2-methylcitrate synthase
PrPc,prpC,56665837,,,2-methylcitrate synthase
PrPc,prpC,64002955,,,2-methylcitrate synthase
PrPc,prpC,56447771,,,2-methylcitrate synthase
PrPc,prpC,61634505,,,2-methylcitrate synthase
PrPc,prpC,60254242,,,2-methylcitrate synthase
PrPc,prpC,60848387,,,2-methylcitrate synthase
PrPsc,Prnp,19122,ENSMUSG00000079037,"['1AG2', '1XYX', '1Y15', '1Y16', '2K5O', '2KFM', '2KFO', '2KU5', '2KU6', '2L1D', '2L1E', '2L1H', '2L1K', '2L39', '2L40', '3NVG', '3NVH', '4H88', '4J8R', '4MA7', '4MA8', '6AQ7', '6HER', '6HHD']",prion protein
Protein kinase C,C,Os06g0205100,Os06g0205100,,
Protein kinase C,c,44802,,,curved
Protein kinase C,c,1258863,,,repressor protein
Protein kinase C,C,1260627,,,helix-turn-helix domain-containing protein
Protein kinase C,c,2715886,,,repressor
Protein kinase C,c,6654090,,,helix-turn-helix domain-containing protein
Protein kinase C,C,3959355,,,gpC
Protein kinase C,C,3959396,,,gpC
Protein kinase C,c,8658869,,,Repressor protein CI
Protein kinase C,C,8658831,,,positive regulator of late transcription
UCP,UCP,102585221,PGSC0003DMG400020356,,mitochondrial uncoupling protein 1-like
UCP,UCP,544201,Solyc09g011920.3,,putative uncoupling protein
UCP-1,Ucp1,101835783,,,uncoupling protein 1
UCP-2,LOC109105814,109105814,ENSCCRG00000029489,,mitochondrial uncoupling protein 2-like
UCP-3,LOC107308634,107308634,ENSCJPG00005006418,,mitochondrial uncoupling protein 3
UCP1,UCP1,7350,ENSG00000109424,,uncoupling protein 1
UCP2,UCP2,7351,ENSG00000175567,,uncoupling protein 2
UCP3,UCP3,7352,ENSG00000175564,,uncoupling protein 3
UCPs,SLC25A27,9481,ENSG00000153291,,solute carrier family 25 member 27
Uncoupling protein-3,UCP3,7352,ENSG00000175564,,uncoupling protein 3
Vasopressin,AVP,551,ENSG00000101200,7KH0,arginine vasopressin
alpha-Amy2,AMY2,MDOA003190,,,alpha-amylase A
alpha-amylase,LOC112215526,112215526,ENSOTSG00005024379,,alpha-amylase
alpha-amylase,LOC108232787,108232787,ENSKMAG00000020787,,alpha-amylase
alpha-amylase,,AAEL013421,,,Alpha-amylase
alpha-amylase,,ACOM026398,ACOM026398,,Alpha-amylase
alpha-amylase,,AAEL001130,,,Alpha-amylase
alpha-amylase,,ACUA007778,ACUA007778,,Alpha-amylase
alpha-amylase,,ADAC005040,ADAC005040,,alpha-amylase
alpha-amylase,,ADAC005041,ADAC005041,,alpha-amylase
alpha-amylase,,CPIJ005062,,,Alpha-amylase
alpha-amylase,,CPIJ005208,,,Alpha-amylase
amylase,amylase,104931258,ENSLCRG00005019010,,pancreatic alpha-amylase
amylase,amylase,103396493,ENSCSEG00000016221,,pancreatic alpha-amylase-like
amyloid,SAA2,6289,ENSG00000134339,,serum amyloid A2
amyloid,SAA1,6288,,"['4IP8', '4IP9', '6MST']",serum amyloid A1
amyloid,IAPP,3375,ENSG00000121351,"['1KUW', '2G48', '2KB8', '2L86', '3DG1', '3FPO', '3FR1', '3FTH', '3FTK', '3FTL', '3FTR', '3G7V', '3G7W', '3HGZ', '5K5G', '5KNZ', '5KO0', '5MGQ', '6UCJ', '6UCK', '6VW2', '6Y1A', '6ZRF', '6ZRQ', '6ZRR']",islet amyloid polypeptide
arginine vasopressin,AVP,551,ENSG00000101200,7KH0,arginine vasopressin
arginine-vasopressin,AVP,551,ENSG00000101200,7KH0,arginine vasopressin
bPrP,bprP,56530038,,,type III secretion system regulator BprP
bPrP,bprP,56597898,,,type III secretion system regulator BprP
beta-amyloid,,ADAC000909,ADAC000909,,Beta-amyloid-like protein
beta-amyloid,,LOC105622992,,,beta-amyloid-like protein
beta-amyloid,,FF38_08946,FF38_08946,,Beta-amyloid-like protein
beta-amyloid,,MDOA015280,,,beta-amyloid-like protein
beta-amyloid,,X975_12802,X975_12802,,Beta-amyloid-like protein
beta-amyloid,SRAE_X000198600,WBGene00267563,WBGene00267563,,Beta-amyloid-like protein
beta-amyloid,LOC109032272,109032272,,,beta-amyloid-like protein
beta-amyloid,LOC106460050,106460050,,,beta-amyloid-like protein
beta-amyloid,LOC106459756,106459756,,,beta-amyloid-like protein
beta-amyloid,LOC110179660,110179660,,,beta-amyloid-like protein
cholesterol,LCAT,3931,ENSG00000213398,"['4X96', '4XWG', '4XX1', '5BV7', '5TXF', '6MVD']",lecithin-cholesterol acyltransferase
cholesterol,CH25H,9023,ENSG00000138135,,cholesterol 25-hydroxylase
cholesterol,CLQTL1,54501,,,cholesterol-lowering factor
cholesteryl ester,CETP,1071,ENSG00000087237,"['2OBD', '4EWS', '4F2A']",cholesteryl ester transfer protein
flavanone,,TraesCS2A02G493500,TraesCS2A02G493500,,Flavanone 3-hydroxylase
flavanone,,TraesCS2D02G493400,TraesCS2D02G493400,,Flavanone 3-hydroxylase
flavanone,,ORGLA04G0247100,ORGLA04G0247100,,flavanone 3-hydroxylase
flavanone,,OPUNC04G25950,OPUNC04G25950,,flavanone 3-hydroxylase
flavanone,,ONIVA04G27000,ONIVA04G27000,,flavanone 3-hydroxylase
flavanone,,OB04G35450,,,flavanone 3-hydroxylase
flavanone,,OBART04G28440,OBART04G28440,,flavanone 3-hydroxylase
flavanone,,OGLUM04G28330,OGLUM04G28330,,flavanone 3-hydroxylase
flavanone,,fgenesh2_kg.5__1468__AT3G51240.1,,,Flavanone 3-hydroxylase
flavanone,,VIT_04s0023g03370,,,Flavanone 3-hydroxylase
flavones,UGT1A8,54576,ENSG00000242366,,UDP glucuronosyltransferase family 1 member A8
flavonoid,UGT78G1,MTR_4g128690,,,Flavonoid glucosyltransferase
flavonoid,,AT5G08005,,,Flavonoid protein
flavonoid,AT5G08005,28720940,AT5G08005,,flavonoid protein
flavonoid,SAPIO_CDS1664,27720736,,,Flavonoid 3'
flavonoids,flvL,938778,,,transcriptional regulator (FlvL-flavonoids)
gibberellic acid,ACID,100326236,,,Acid flavor
gibberellic acid,ACID,100326244,,,Acid flavor
gibberellin,,SETIT_022513mg,,,"Soluble gibberellin receptor, Gibberellin signalin"
gibberellin,,BRADI_2g25600v3,,,"Soluble gibberellin receptor, Gibberellin signalin"
gibberellin,,GQ55_3G274200,GQ55_3G274200,,"Soluble gibberellin receptor, Gibberellin signalin"
gibberellin,,OPUNC05G14250,OPUNC05G14250,,"Soluble gibberellin receptor, Gibberellin signalin"
gibberellin,,ONIVA05G16740,ONIVA05G16740,,"Soluble gibberellin receptor, Gibberellin signalin"
gibberellin,,Sspon.07G0008210-3D,Sspon.07G0008210-3D,,"Soluble gibberellin receptor, Gibberellin signalin"
gibberellin,,TRIDC1AG038130,TRIDC1AG038130,,"Soluble gibberellin receptor, Gibberellin signalin"
gibberellin,,Et_s5362-0.36-1.path1,Et_s5362-0.36-1.path1,,"Soluble gibberellin receptor, Gibberellin signalin"
gibberellin,,TRIDC1BG043370,TRIDC1BG043370,,"Soluble gibberellin receptor, Gibberellin signalin"
gibberellin,,OB05G24060,OB05G24060,,"Soluble gibberellin receptor, Gibberellin signalin"
gibberellin A3,A3,114173705,,,probable ureide permease A3
gibberellin A3,A3,100145915,,,actin A3
gibberellin A3,A3,5657641,,,A3
gibberellin A3,A3,11464180,,,protein A3
glycosyl-phosphatidylinositol-specific phospholipase C,C,Os06g0205100,Os06g0205100,,
glycosyl-phosphatidylinositol-specific phospholipase C,c,44802,,,curved
glycosyl-phosphatidylinositol-specific phospholipase C,c,1258863,,,repressor protein
glycosyl-phosphatidylinositol-specific phospholipase C,C,1260627,,,helix-turn-helix domain-containing protein
glycosyl-phosphatidylinositol-specific phospholipase C,c,2715886,,,repressor
glycosyl-phosphatidylinositol-specific phospholipase C,c,6654090,,,helix-turn-helix domain-containing protein
glycosyl-phosphatidylinositol-specific phospholipase C,C,3959355,,,gpC
glycosyl-phosphatidylinositol-specific phospholipase C,C,3959396,,,gpC
glycosyl-phosphatidylinositol-specific phospholipase C,c,8658869,,,Repressor protein CI
glycosyl-phosphatidylinositol-specific phospholipase C,C,8658831,,,positive regulator of late transcription
"inositol (1,4,5)-trisphosphate",ITPR3,3710,ENSG00000096433,"['6DQJ', '6DQN', '6DQS', '6DQV', '6DQZ', '6DR0', '6DR2', '6DRA', '6DRC', '6UQK']","inositol 1,4,5-trisphosphate receptor type 3"
"inositol (1,4,5)-trisphosphate",ITPR2,3709,ENSG00000123104,,"inositol 1,4,5-trisphosphate receptor type 2"
"inositol (1,4,5)-trisphosphate",ITPRIP,85450,ENSG00000148841,,"inositol 1,4,5-trisphosphate receptor interacting protein"
"inositol (1,4,5)-trisphosphate",ITPR1,3708,ENSG00000150995,,"inositol 1,4,5-trisphosphate receptor type 1"
"inositol 1, 4, 5-triphosphate",,ADAC007999,ADAC007999,,Inositol 1 4 5-triphosphate kinase 1
"inositol 1,4,5-trisphosphate",ITPR3,3710,ENSG00000096433,"['6DQJ', '6DQN', '6DQS', '6DQV', '6DQZ', '6DR0', '6DR2', '6DRA', '6DRC', '6UQK']","inositol 1,4,5-trisphosphate receptor type 3"
"inositol 1,4,5-trisphosphate",ITPR2,3709,ENSG00000123104,,"inositol 1,4,5-trisphosphate receptor type 2"
"inositol 1,4,5-trisphosphate",ITPRIP,85450,ENSG00000148841,,"inositol 1,4,5-trisphosphate receptor interacting protein"
"inositol 1,4,5-trisphosphate",ITPR1,3708,ENSG00000150995,,"inositol 1,4,5-trisphosphate receptor type 1"
inositol phosphate,,ASIC005808,ASIC005808,,Inositol-phosphate phosphatase
inositol phosphate,,BVRB_8g184830,,,Inositol-phosphate phosphatase
inositol phosphate,,CMQ201C,,,Inositol-phosphate phosphatase
inositol phosphate,,GQ55_9G170500,GQ55_9G170500,,Inositol-phosphate phosphatase
inositol phosphate,,SETIT_037039mg,,,Inositol-phosphate phosphatase
inositol phosphate,,EVM0031271,EVM0031271,,Inositol-phosphate phosphatase
inositol phosphate,,Sspon.01G0022670-3C,Sspon.01G0022670-3C,,Inositol-phosphate phosphatase
inositol phosphate,,TRIDC4BG026830,TRIDC4BG026830,,Inositol-phosphate phosphatase
inositol phosphate,,Sspon.01G0022670-2B,Sspon.01G0022670-2B,,Inositol-phosphate phosphatase
inositol phosphate,,Csa01g002480,Csa01g002480,,Inositol-phosphate phosphatase
inositol phosphates,INPP5B,3633,ENSG00000204084,"['3MTC', '3N9V', '4CML', '5A7I', '5A7J']",inositol polyphosphate-5-phosphatase B
inositol trisphosphate,ITPKC,80271,ENSG00000086544,2A98,inositol-trisphosphate 3-kinase C
inositol trisphosphate,ITPKA,3706,ENSG00000137825,"['1W2C', '1W2D', '1W2F', '4UPU']",inositol-trisphosphate 3-kinase A
inositol trisphosphate,ITPKB,3707,ENSG00000143772,,inositol-trisphosphate 3-kinase B
"inositol-1,4,5-trisphosphate",ITPR3,3710,ENSG00000096433,"['6DQJ', '6DQN', '6DQS', '6DQV', '6DQZ', '6DR0', '6DR2', '6DRA', '6DRC', '6UQK']","inositol 1,4,5-trisphosphate receptor type 3"
"inositol-1,4,5-trisphosphate",ITPR2,3709,ENSG00000123104,,"inositol 1,4,5-trisphosphate receptor type 2"
"inositol-1,4,5-trisphosphate",ITPRIP,85450,ENSG00000148841,,"inositol 1,4,5-trisphosphate receptor interacting protein"
"inositol-1,4,5-trisphosphate",ITPR1,3708,ENSG00000150995,,"inositol 1,4,5-trisphosphate receptor type 1"
