surface,symbol,_id,entrezgene,ensembl_id,pdb_id,name
"inositol (1,4,5)-trisphosphate",ITPR3,3710,3710,ENSG00000096433,6DQJ,"inositol 1,4,5-trisphosphate receptor type 3"
"inositol (1,4,5)-trisphosphate",ITPR2,3709,3709,ENSG00000123104,,"inositol 1,4,5-trisphosphate receptor type 2"
"inositol (1,4,5)-trisphosphate",ITPRIP,85450,85450,ENSG00000148841,,"inositol 1,4,5-trisphosphate receptor interacting protein"
"inositol (1,4,5)-trisphosphate",ITPR1,3708,3708,ENSG00000150995,,"inositol 1,4,5-trisphosphate receptor type 1"
"inositol 1,4,5-trisphosphate",ITPR3,3710,3710,ENSG00000096433,6DQJ,"inositol 1,4,5-trisphosphate receptor type 3"
"inositol 1,4,5-trisphosphate",ITPR2,3709,3709,ENSG00000123104,,"inositol 1,4,5-trisphosphate receptor type 2"
"inositol 1,4,5-trisphosphate",ITPRIP,85450,85450,ENSG00000148841,,"inositol 1,4,5-trisphosphate receptor interacting protein"
"inositol 1,4,5-trisphosphate",ITPR1,3708,3708,ENSG00000150995,,"inositol 1,4,5-trisphosphate receptor type 1"
inositol trisphosphate,ITPKC,80271,80271,ENSG00000086544,2,inositol-trisphosphate 3-kinase C
inositol trisphosphate,ITPKA,3706,3706,ENSG00000137825,1W2C,inositol-trisphosphate 3-kinase A
inositol trisphosphate,ITPKB,3707,3707,ENSG00000143772,,inositol-trisphosphate 3-kinase B
"inositol-1,4,5-trisphosphate",ITPR3,3710,3710,ENSG00000096433,6DQJ,"inositol 1,4,5-trisphosphate receptor type 3"
"inositol-1,4,5-trisphosphate",ITPR2,3709,3709,ENSG00000123104,,"inositol 1,4,5-trisphosphate receptor type 2"
"inositol-1,4,5-trisphosphate",ITPRIP,85450,85450,ENSG00000148841,,"inositol 1,4,5-trisphosphate receptor interacting protein"
"inositol-1,4,5-trisphosphate",ITPR1,3708,3708,ENSG00000150995,,"inositol 1,4,5-trisphosphate receptor type 1"
kinase,MAP4K3,8491,8491,ENSG00000011566,5,mitogen-activated protein kinase kinase kinase kinase 3
kinase,MAP4K1,11184,11184,,6CQD,mitogen-activated protein kinase kinase kinase kinase 1
kinase,MAP4K2,5871,5871,ENSG00000168067,,mitogen-activated protein kinase kinase kinase kinase 2
kinase,MAP4K5,11183,11183,ENSG00000012983,,mitogen-activated protein kinase kinase kinase kinase 5
kinase,MAP4K4,9448,9448,ENSG00000071054,4OBO,mitogen-activated protein kinase kinase kinase kinase 4
neuropeptide Y,y,30980,30980,FBgn0004034,,yellow
phospholipase C-gamma,PLCG2,5336,5336,ENSG00000197943,2K2J,phospholipase C gamma 2
phospholipase C-gamma,PLCG1,5335,5335,ENSG00000124181,1HSQ,phospholipase C gamma 1
protein kinase,PKN3,29941,29941,ENSG00000160447,,protein kinase N3
protein kinase,PRKD3,23683,23683,ENSG00000115825,2,protein kinase D3
protein kinase,MOK,5891,5891,ENSG00000080823,,MOK protein kinase
protein kinase,PKN1,5585,5585,ENSG00000123143,1CXZ,protein kinase N1
protein kinase,PRKD2,25865,25865,ENSG00000105287,2COA,protein kinase D2
protein kinase,PRKD1,5587,5587,ENSG00000184304,,protein kinase D1
protein kinase,DMPK,1760,1760,ENSG00000104936,1WT6,DM1 protein kinase
protein kinase,TTK,7272,7272,ENSG00000112742,2X9E,TTK protein kinase
protein kinase,PKN2,5586,5586,ENSG00000065243,4CRS,protein kinase N2
protein kinase CK2,ck2b,445589,445589,ENSCING00000003902,,protein kinase Ck2-beta
protein kinase CK2,CNF02800,3258311,3258311,CNF02800,,"protein kinase CK2, putative"
protein kinase CK2,TRIADDRAFT_6279,6750615,6750615,TriadG6279,,protein kinase Ck2-beta
protein kinase CK2,Chro.30219,3413537,3413537,,,protein kinase Ck2-beta
tyrosine kinase,FER,2241,2241,ENSG00000151422,2KK6,FER tyrosine kinase
tyrosine kinase,TXK,7294,7294,ENSG00000074966,2,TXK tyrosine kinase
tyrosine kinase,BTK,695,695,ENSG00000010671,1AWW,Bruton tyrosine kinase
tyrosine kinase,TYK2,7297,7297,ENSG00000105397,3LXN,tyrosine kinase 2
ucp,UCP,102585221,102585221,PGSC0003DMG400020356,,mitochondrial uncoupling protein 1-like
ucp,UCP,544201,544201,Solyc09g011920.3,,putative uncoupling protein
uncoupling protein,UCP1,7350,7350,ENSG00000109424,,uncoupling protein 1
uncoupling protein,UCP2,7351,7351,ENSG00000175567,,uncoupling protein 2
uncoupling protein,UCP3,7352,7352,ENSG00000175564,,uncoupling protein 3
uncoupling protein 2,2,18990000,18990000,,,hypothetical protein
uncoupling protein 2,2,2610712,2610712,,,DNA end protector protein
uncoupling protein 2,2,921009,921009,,,PBSX family terminase large subunit
uncoupling protein 2,2,1732947,1732947,,,terminase large subunit
uncoupling protein 2,2,2657174,2657174,,,terminase
uncoupling protein 2,2,1259214,1259214,,,hypothetical protein
uncoupling protein 2,2,2700963,2700963,,,terminase small subunit
uncoupling protein 2,2,3416180,3416180,,,DNA end protector protein
uncoupling protein 2,2,1262411,1262411,,,inhibitor of host bacterial RNA polymerase
uncoupling protein 2,2,2777092,2777092,,,terminase large subunit
uncoupling protein 3,3,18990001,18990001,,,hypothetical protein
uncoupling protein 3,3,2610711,2610711,,,tail completion and sheath stabilizer protein
uncoupling protein 3,3,920975,920975,,4,terminase small subunit
uncoupling protein 3,3,1732929,1732929,,,portal protein
uncoupling protein 3,3,2657220,2657220,,,hypothetical protein
uncoupling protein 3,3,1259215,1259215,,,hypothetical protein
uncoupling protein 3,3,2886020,2886020,,,3
uncoupling protein 3,3,2700964,2700964,,,terminase
uncoupling protein 3,3,3416178,3416178,,,tail completion and sheath stabilizer protein
uncoupling protein 3,3,1262376,1262376,,,endonuclease I
uncoupling proteins 2,2,18990000,18990000,,,hypothetical protein
uncoupling proteins 2,2,2610712,2610712,,,DNA end protector protein
uncoupling proteins 2,2,921009,921009,,,PBSX family terminase large subunit
uncoupling proteins 2,2,1732947,1732947,,,terminase large subunit
uncoupling proteins 2,2,2657174,2657174,,,terminase
uncoupling proteins 2,2,1259214,1259214,,,hypothetical protein
uncoupling proteins 2,2,2700963,2700963,,,terminase small subunit
uncoupling proteins 2,2,3416180,3416180,,,DNA end protector protein
uncoupling proteins 2,2,1262411,1262411,,,inhibitor of host bacterial RNA polymerase
uncoupling proteins 2,2,2777092,2777092,,,terminase large subunit
