surface,symbol,entrezgene or _id,ensembl_id,pdb_id,name
Abeta peptide,APP,351,ENSG00000142192,"['1AAP', '1AMB', '1AMC', '1AML', '1BA4', '1BA6', '1BJB', '1BJC', '1BRC', '1CA0', '1HZ3', '1IYT', '1MWP', '1OWT', '1QCM', '1QWP', '1QXC', '1QYT', '1TAW', '1TKN', '1UO7', '1UO8', '1UOA', '1UOI', '1X11', '1Z0Q', '1ZE7', '1ZE9', '1ZJD', '2BEG', '2BOM', '2BP4', '2FJZ', '2FK1', '2FK2', '2FK3', '2FKL', '2FMA', '2G47', '2IPU', '2LFM', '2LLM', '2LMN', '2LMO', '2LMP', '2LMQ', '2LNQ', '2LOH', '2LP1', '2LZ3', '2LZ4', '2M4J', '2M9R', '2M9S', '2MGT', '2MJ1', '2MPZ', '2MVX', '2MXU', '2NAO', '2OTK', '2R0W', '2WK3', '2Y29', '2Y2A', '2Y3J', '2Y3K', '2Y3L', '3AYU', '3BAE', '3BKJ', '3DXC', '3DXD', '3DXE', '3GCI', '3IFL', '3IFN', '3IFO', '3IFP', '3JQ5', '3JQL', '3JTI', '3KTM', '3L33', '3L81', '3MOQ', '3MXC', '3MXY', '3NYJ', '3NYL', '3OVJ', '3OW9', '3PZZ', '3Q2X', '3SV1', '3U0T', '3UMH', '3UMI', '3UMK', '4HIX', '4JFN', '4M1C', '4MDR', '4MVI', '4MVK', '4MVL', '4NGE', '4OJF', '4ONF', '4ONG', '4PQD', '4PWQ', '4XXD', '5AEF', '5AM8', '5AMB', '5BUO', '5C67', '5CSZ', '5HOW', '5HOX', '5HOY', '5KK3', '5LFY', '5LV0', '5MY4', '5MYO', '5MYX', '5ONP', '5ONQ', '5OQV', '5TXD', '5VOS', '5VZY', '5W3P', '6CO3', '6GFI', '6ITU', '6IYC', '6NB9', '6O4J', '6OC9', '6OIZ', '6RHY', '6SHS', '6SZF', '6TI5', '6TI6', '6TI7', '6W0O', '6WXM', '6YHF', '6YHI', '6YHO', '6YHP', '6YHX', '7B3J', '7B3K', '7JXN', '7JXO', '7O1Q']",amyloid beta precursor protein
ActR-II,ACVR2A,443304,ENSOARG00000009841,,activin A receptor type 2A
ActRII,acvr2a.S,495087,,,activin A receptor type 2A S homeolog
Activin A,a,50518,ENSMUSG00000027596,,nonagouti
Apo-1,,PGSC0003DMG400022740,,,"APO protein 1, chloroplastic"
B61,GfIV_sB61gp1,5179584,,,GfV-B61-ORF1
BAG-1,bag-1,172373,WBGene00000236,1T7S,BAG family molecular chaperone regulator 1
BDNF,BDNF,627,ENSG00000176697,"['1B8M', '1BND']",brain derived neurotrophic factor
BMP type II receptor,RECEPTOR,443145,,,neuropilin-1
BMP-2,Bmp-2,733059,,,bmp-2 protein
BMP-4,bmp4,110965868,,,bone morphogenetic protein 4
BMP-6,GDF6,407175,ENSBTAG00000007687,,growth differentiation factor 6
BMP-7,bmp7.1.S,108702613,,,"bone morphogenetic protein 7, gene 1 S homeolog"
BMPR-IA,BMPR1A,101112282,,,bone morphogenetic protein receptor type 1A
BMPR-II,bmpr2.L,108701455,,,bone morphogenetic protein receptor type II L homeolog
BMPRIB,BMPR1B,100861211,ENSCHIG00000017761,,bone morphogenetic protein receptor type 1B
BR-I,CBLL1,524139,ENSBTAG00000018348,,Cbl proto-oncogene like 1
BR-II,zip,38001,FBgn0265434,,zipper
BR-Ia,ITGA2,3673,ENSG00000164171,"['1AOX', '1DZI', '1PQB', '1V7P', '4BJ3', '5HJ2', '5THP', '6ND8', '6ND9', '6NDA', '6NDB', '6NDC', '6NDD', '6NDE', '6NDF', '6NDG', '6NDH']",integrin subunit alpha 2
Bax,BAX,581,ENSG00000087088,"['1F16', '2G5B', '2K7W', '2LR1', '3PK1', '3PL7', '4BD2', '4BD6', '4BD7', '4BD8', '4BDU', '4S0O', '4S0P', '4UF2', '4ZIE', '4ZIF', '4ZIG', '4ZIH', '4ZII', '5W5X', '5W5Z', '5W60', '5W61', '6EB6', '6L8V', '6L95', '6TRR', '6XY6']","BCL2 associated X, apoptosis regulator"
Bcl-2-binding protein,LOC112410485,112410485,,,bcl-2-binding component 3
Bcl-X,bclx,100196057,ENSSSAG00000063803,,Apoptosis regulator Bcl-X
Bcl-X-L,bcl2l1,447991,,,BCL2 like 1
Bcl-X-S,bcl2l1,447991,,,BCL2 like 1
Bcl-x(L),bcl2l1,447991,,,BCL2 like 1
Bone morphogenetic protein-2,BMP2,650,ENSG00000125845,"['1ES7', '1REU', '1REW', '2GOO', '2H62', '2H64', '2QJ9', '2QJA', '2QJB', '3BK3', '3BMP', '4MID', '4N1D', '4UHY', '4UHZ', '4UI0', '4UI1', '4UI2', '6OMN']",bone morphogenetic protein 2
Bp50,cd40,100270675,ENSXETG00000033362,,"CD40 molecule, TNF receptor superfamily member 5"
C3,C3,718,ENSG00000125730,"['1C3D', '1GHQ', '1W2S', '2A73', '2A74', '2GOX', '2I07', '2ICE', '2ICF', '2NOJ', '2QKI', '2WII', '2WIN', '2WY7', '2WY8', '2XQW', '2XWB', '2XWJ', '3D5R', '3D5S', '3G6J', '3L3O', '3L5N', '3NMS', '3OED', '3OHX', '3OXU', '3RJ3', '3T4A', '4HW5', '4HWJ', '4I6O', '4M76', '4ONT', '4ZH1', '5FO7', '5FO8', '5FO9', '5FOA', '5FOB', '5NBQ', '5O32', '5O35', '6EHG', '6RMT', '6RMU', '6RUR', '6RUV', '6S0B', '6YO6']",complement C3
C5,C5,727,ENSG00000106804,"['1CFA', '1KJS', '1XWE', '3CU7', '3HQA', '3HQB', '3KLS', '3KM9', '3PRX', '3PVM', '4A5W', '4E0S', '4P39', '4UU9', '5B4P', '5B71', '5HCC', '5HCD', '5HCE', '5I5K', '6H03', '6H04', '6RPT', '7AD6', '7AD7']",complement C5
C9,C9,735,ENSG00000113600,"['5FMW', '6DLW', '6H03', '6H04']",complement C9
CAP-60,RpL14,38983,FBgn0017579,4V6W,Ribosomal protein L14
CC chemokine receptor 3,RECEPTOR,443145,,,neuropilin-1
CCKB G protein-coupled receptor,RECEPTOR,443145,,,neuropilin-1
CCKB receptor,RECEPTOR,443145,,,neuropilin-1
CCL16,CCL16,6360,,5LTL,C-C motif chemokine ligand 16
CCR1,CCR1,1230,ENSG00000163823,1Y5D,C-C motif chemokine receptor 1
CCR2,CCR2,729230,ENSG00000121807,"['1KAD', '1KP1', '2MLO', '2MLQ', '5T1A']",C-C motif chemokine receptor 2
CCR3,CCR3,1232,ENSG00000183625,,C-C motif chemokine receptor 3
CCR5,CCR5,1234,ENSG00000160791,"['1ND8', '1NE0', '1OPN', '1OPT', '1OPW', '2L87', '2MZX', '2RLL', '2RRS', '4MBS', '5UIW', '5YD3', '5YD4', '5YD5', '5YY4', '6FGP', '6MEO', '6MET', '7O7F']",C-C motif chemokine receptor 5
CCR8,CCR8,1237,ENSG00000179934,,C-C motif chemokine receptor 8
CD14,CD14,929,ENSG00000170458,4GLP,CD14 molecule
CD16,snoRNA:Or-CD16,39877421,FBgn0286737,,snoRNA:Orphan CD box 16
CD30,tnfrsf8,100496791,,,TNF receptor superfamily member 8
CD30 ligand,TNFSF8,944,ENSG00000106952,,TNF superfamily member 8
CD30L,TNFSF8,378930,ENSGALG00000053788,,tumor necrosis factor superfamily member 8
CD34,CD34,947,ENSG00000174059,,CD34 molecule
CD4,CD4,920,ENSG00000010610,"['1CDH', '1CDI', '1CDJ', '1CDU', '1CDY', '1G9M', '1G9N', '1GC1', '1JL4', '1OPN', '1OPT', '1OPW', '1Q68', '1RZJ', '1RZK', '1WBR', '1WIO', '1WIP', '1WIQ', '2B4C', '2JKR', '2JKT', '2KLU', '2NXY', '2NXZ', '2NY0', '2NY1', '2NY2', '2NY3', '2NY4', '2NY5', '2NY6', '2QAD', '3B71', '3CD4', '3J70', '3JCB', '3JCC', '3JWD', '3JWO', '3LQA', '3O2D', '3S4S', '3S5L', '3T0E', '4H8W', '4JM2', '4P9H', '4Q6I', '4R2G', '4R4H', '4RQS', '5A7X', '5A8H', '5CAY', '5THR', '5U1F', '5VN3', '6CM3', '6EDU', '6L1Y', '6MEO', '6MET', '6OPN', '6OPO', '6OPP', '6OPQ', '6QH6', '6QH7', '6U0L', '6U0N', '6URI', '6X5B', '6X5C']",CD4 molecule
CD40,CD40,958,ENSG00000101017,"['1CDF', '1CZZ', '1D00', '1FLL', '1LB6', '3QD6', '5DMI', '5DMJ', '5IHL', '6FAX', '6PE8', '6PE9']",CD40 molecule
CD40 ligand,CD40,958,ENSG00000101017,"['1CDF', '1CZZ', '1D00', '1FLL', '1LB6', '3QD6', '5DMI', '5DMJ', '5IHL', '6FAX', '6PE8', '6PE9']",CD40 molecule
CD44,CD44,960,ENSG00000026508,"['1POZ', '1UUH', '2I83', '4PZ3', '4PZ4', '6TXS']",CD44 molecule (Indian blood group)
CD5,CD5,921,ENSG00000110448,"['2JA4', '2JOP', '2JP0', '2OTT']",CD5 molecule
CD72,CD72,971,ENSG00000137101,,CD72 molecule
CD8,Cd8a,12525,ENSMUSG00000053977,"['1BQH', '1NEZ', '2ARJ', '2ATP', '3B9K', '3DMM']","CD8 antigen, alpha chain"
CD8alpha,cd8a,777995,,,CD8a molecule
CD9,CD9,928,ENSG00000010278,"['6K4J', '6RLO', '6RLR', '6Z1V', '6Z20']",CD9 molecule
CD95,LOC403442,403442,,,death factor CD95
CD95 ligand,FASLG,574159,ENSMMUG00000065134,,Fas ligand
CD95L,FASLG,105484428,ENSMNEG00000040462,,Fas ligand
CDC2-HS,RBMS2,5939,ENSG00000076067,1X4E,RNA binding motif single stranded interacting protein 2
CDC37,CDC37,11140,ENSG00000105401,"['1US7', '2K5B', '2N5X', '2NCA', '2W0G', '5FWK', '5FWL', '5FWM', '5FWP', '5HPE']","cell division cycle 37, HSP90 cochaperone"
CDK2,CDK2,1017,ENSG00000123374,"['1AQ1', '1B38', '1B39', '1BUH', '1CKP', '1DI8', '1DM2', '1E1V', '1E1X', '1E9H', '1F5Q', '1FIN', '1FQ1', '1FVT', '1FVV', '1G5S', '1GIH', '1GII', '1GIJ', '1GY3', '1GZ8', '1H00', '1H01', '1H07', '1H08', '1H0V', '1H0W', '1H1P', '1H1Q', '1H1R', '1H1S', '1H24', '1H25', '1H26', '1H27', '1H28', '1HCK', '1HCL', '1JST', '1JSU', '1JSV', '1JVP', '1KE5', '1KE6', '1KE7', '1KE8', '1KE9', '1OGU', '1OI9', '1OIQ', '1OIR', '1OIT', '1OIU', '1OIY', '1OKV', '1OKW', '1OL1', '1OL2', '1P2A', '1P5E', '1PF8', '1PKD', '1PW2', '1PXI', '1PXJ', '1PXK', '1PXL', '1PXM', '1PXN', '1PXO', '1PXP', '1PYE', '1QMZ', '1R78', '1URC', '1URW', '1V1K', '1VYW', '1VYZ', '1W0X', '1W8C', '1W98', '1WCC', '1Y8Y', '1Y91', '1YKR', '2A0C', '2A4L', '2B52', '2B53', '2B54', '2B55', '2BHE', '2BHH', '2BKZ', '2BPM', '2BTR', '2BTS', '2C4G', '2C5N', '2C5O', '2C5V', '2C5X', '2C5Y', '2C68', '2C69', '2C6I', '2C6K', '2C6L', '2C6M', '2C6O', '2C6T', '2CCH', '2CCI', '2CJM', '2CLX', '2DS1', '2DUV', '2EXM', '2FVD', '2G9X', '2HIC', '2I40', '2IW6', '2IW8', '2IW9', '2J9M', '2JGZ', '2R3F', '2R3G', '2R3H', '2R3I', '2R3J', '2R3K', '2R3L', '2R3M', '2R3N', '2R3O', '2R3P', '2R3Q', '2R3R', '2R64', '2UUE', '2UZB', '2UZD', '2UZE', '2UZL', '2UZN', '2UZO', '2V0D', '2V22', '2VTA', '2VTH', '2VTI', '2VTJ', '2VTL', '2VTM', '2VTN', '2VTO', '2VTP', '2VTQ', '2VTR', '2VTS', '2VTT', '2VU3', '2VV9', '2W05', '2W06', '2W17', '2W1H', '2WEV', '2WFY', '2WHB', '2WIH', '2WIP', '2WMA', '2WMB', '2WPA', '2WXV', '2X1N', '2XMY', '2XNB', '3BHT', '3BHU', '3BHV', '3DDP', '3DDQ', '3DOG', '3EID', '3EJ1', '3EOC', '3EZR', '3EZV', '3F5X', '3FZ1', '3IG7', '3IGG', '3LE6', '3LFN', '3LFQ', '3LFS', '3MY5', '3NS9', '3PJ8', '3PXF', '3PXQ', '3PXR', '3PXY', '3PXZ', '3PY0', '3PY1', '3QHR', '3QHW', '3QL8', '3QQF', '3QQG', '3QQH', '3QQJ', '3QQK', '3QQL', '3QRT', '3QRU', '3QTQ', '3QTR', '3QTS', '3QTU', '3QTW', '3QTX', '3QTZ', '3QU0', '3QWJ', '3QWK', '3QX2', '3QX4', '3QXO', '3QXP', '3QZF', '3QZG', '3QZH', '3QZI', '3R1Q', '3R1S', '3R1Y', '3R28', '3R6X', '3R71', '3R73', '3R7E', '3R7I', '3R7U', '3R7V', '3R7Y', '3R83', '3R8L', '3R8M', '3R8P', '3R8U', '3R8V', '3R8Z', '3R9D', '3R9H', '3R9N', '3R9O', '3RAH', '3RAI', '3RAK', '3RAL', '3RJC', '3RK5', '3RK7', '3RK9', '3RKB', '3RM6', '3RM7', '3RMF', '3RNI', '3ROY', '3RPO', '3RPR', '3RPV', '3RPY', '3RZB', '3S00', '3S0O', '3S1H', '3S2P', '3SQQ', '3SW4', '3SW7', '3TI1', '3TIY', '3TIZ', '3TNW', '3ULI', '3UNJ', '3UNK', '3WBL', '4ACM', '4BCK', '4BCM', '4BCN', '4BCO', '4BCP', '4BCQ', '4BGH', '4BZD', '4CFM', '4CFN', '4CFU', '4CFV', '4CFW', '4CFX', '4D1X', '4D1Z', '4EK3', '4EK4', '4EK5', '4EK6', '4EK8', '4EOI', '4EOJ', '4EOK', '4EOL', '4EOM', '4EON', '4EOO', '4EOP', '4EOQ', '4EOR', '4EOS', '4ERW', '4EZ3', '4EZ7', '4FKG', '4FKI', '4FKJ', '4FKL', '4FKO', '4FKP', '4FKQ', '4FKR', '4FKS', '4FKT', '4FKU', '4FKV', '4FKW', '4FX3', '4GCJ', '4I3Z', '4II5', '4KD1', '4LYN', '4NJ3', '4RJ3', '5A14', '5AND', '5ANE', '5ANG', '5ANI', '5ANJ', '5ANK', '5ANO', '5CYI', '5D1J', '5FP5', '5FP6', '5IEV', '5IEX', '5IEY', '5IF1', '5JQ5', '5JQ8', '5K4J', '5L2W', '5LMK', '5MHQ', '5NEV', '5OO0', '5OO1', '5OO3', '5OSJ', '5OSM', '5UQ1', '5UQ2', '5UQ3', '6ATH', '6GUB', '6GUC', '6GUE', '6GUF', '6GUH', '6GUK', '6GVA', '6INL', '6JGM', '6OQI', '6P3W', '6Q3B', '6Q3C', '6Q3F', '6Q48', '6Q49', '6Q4A', '6Q4B', '6Q4C', '6Q4D', '6Q4E', '6Q4F', '6Q4G', '6Q4H', '6Q4I', '6Q4J', '6Q4K', '6RIJ', '6SG4', '6YL1', '6YL6', '6YLK', '7ACK', '7B5L', '7B5R', '7E34', '7KJS', '7NVQ']",cyclin dependent kinase 2
CDK4,CDK4,1019,ENSG00000135446,"['1LD2', '2W96', '2W99', '2W9F', '2W9Z', '3G33', '5FWK', '5FWL', '5FWM', '5FWP', '6P8E', '6P8F', '6P8G', '6P8H']",cyclin dependent kinase 4
CDK6,CDK6,1021,ENSG00000105810,"['1BI7', '1BI8', '1BLX', '1G3N', '1JOW', '1XO2', '2EUF', '2F2C', '3NUP', '3NUX', '4AUA', '4EZ5', '4TTH', '5L2I', '5L2S', '5L2T', '6OQL', '6OQO']",cyclin dependent kinase 6
CNTF,CNTF,1270,ENSG00000242689,1CNT,ciliary neurotrophic factor
CNTFR alpha,CNTFR,1271,ENSG00000122756,1UC6,ciliary neurotrophic factor receptor
COX-2,cox-2,100136025,ENSOMYG00000005747,,cyclooxygenase-2
CREB-binding protein,CREBBP,1387,ENSG00000005339,"['1JSP', '1LIQ', '1RDT', '1WO3', '1WO4', '1WO5', '1WO6', '1WO7', '1ZOQ', '2D82', '2KJE', '2KWF', '2L84', '2L85', '2LXS', '2LXT', '2N1A', '2RNY', '3DWY', '3P1C', '3P1D', '3P1E', '3P1F', '3SVH', '4A9K', '4N3W', '4N4F', '4NR4', '4NR5', '4NR6', '4NR7', '4NYV', '4NYW', '4NYX', '4OUF', '4TQN', '4TS8', '4WHU', '4YK0', '5CGP', '5DBM', '5EIC', '5ENG', '5EP7', '5GH9', '5H85', '5I83', '5I86', '5I89', '5I8B', '5I8G', '5J0D', '5JEM', '5KTU', '5KTW', '5KTX', '5LPJ', '5LPL', '5MME', '5MMG', '5MPK', '5MPN', '5MPZ', '5MQE', '5MQG', '5MQK', '5NLK', '5NRW', '5NU3', '5OWK', '5SVH', '5TB6', '5W0E', '5W0F', '5W0L', '5W0Q', '5XXH', '6ALB', '6ALC', '6AXQ', '6AY3', '6AY5', '6DMK', '6ES5', '6ES6', '6ES7', '6FQO', '6FQT', '6FQU', '6FR0', '6FRF', '6M64', '6QST', '6SQE', '6SQF', '6SQM', '6SXX', '6YIJ', '6YIK', '6YIL', '6YIM', '7CO1', '7JFL', '7JFM']",CREB binding protein
CTF-1,Nfix,101833130,ENSMAUG00000018106,,nuclear factor I X
CTLA-4,CTLA4,102401069,,,cytotoxic T-lymphocyte associated protein 4
CXCR-4,LOC117361035,117361035,,,C-X-C chemokine receptor type 4-B-like
CXCR1,CXCR1,3577,ENSG00000163464,"['1ILP', '1ILQ', '2LNL']",C-X-C motif chemokine receptor 1
CXCR2,CXCR2,3579,ENSG00000180871,"['4Q3H', '5TYT', '6KVA', '6KVF', '6LFM', '6LFO']",C-X-C motif chemokine receptor 2
CXCR4,CXCR4,7852,ENSG00000121966,"['2K03', '2K04', '2K05', '2N55', '3ODU', '3OE0', '3OE6', '3OE8', '3OE9', '4RWS']",C-X-C motif chemokine receptor 4
CaN,can,12329,,,cartilage anomaly
Calnexin,CANX,821,,,calnexin
Calreticulin,CALR,811,ENSG00000179218,"['2CLR', '3DOW', '3POS', '3POW', '5LK5', '5V90', '6ENY']",calreticulin
Cdi1,CDKN3,1033,ENSG00000100526,"['1FPZ', '1FQ1']",cyclin dependent kinase inhibitor 3
Cdk2,CDK2,1017,ENSG00000123374,"['1AQ1', '1B38', '1B39', '1BUH', '1CKP', '1DI8', '1DM2', '1E1V', '1E1X', '1E9H', '1F5Q', '1FIN', '1FQ1', '1FVT', '1FVV', '1G5S', '1GIH', '1GII', '1GIJ', '1GY3', '1GZ8', '1H00', '1H01', '1H07', '1H08', '1H0V', '1H0W', '1H1P', '1H1Q', '1H1R', '1H1S', '1H24', '1H25', '1H26', '1H27', '1H28', '1HCK', '1HCL', '1JST', '1JSU', '1JSV', '1JVP', '1KE5', '1KE6', '1KE7', '1KE8', '1KE9', '1OGU', '1OI9', '1OIQ', '1OIR', '1OIT', '1OIU', '1OIY', '1OKV', '1OKW', '1OL1', '1OL2', '1P2A', '1P5E', '1PF8', '1PKD', '1PW2', '1PXI', '1PXJ', '1PXK', '1PXL', '1PXM', '1PXN', '1PXO', '1PXP', '1PYE', '1QMZ', '1R78', '1URC', '1URW', '1V1K', '1VYW', '1VYZ', '1W0X', '1W8C', '1W98', '1WCC', '1Y8Y', '1Y91', '1YKR', '2A0C', '2A4L', '2B52', '2B53', '2B54', '2B55', '2BHE', '2BHH', '2BKZ', '2BPM', '2BTR', '2BTS', '2C4G', '2C5N', '2C5O', '2C5V', '2C5X', '2C5Y', '2C68', '2C69', '2C6I', '2C6K', '2C6L', '2C6M', '2C6O', '2C6T', '2CCH', '2CCI', '2CJM', '2CLX', '2DS1', '2DUV', '2EXM', '2FVD', '2G9X', '2HIC', '2I40', '2IW6', '2IW8', '2IW9', '2J9M', '2JGZ', '2R3F', '2R3G', '2R3H', '2R3I', '2R3J', '2R3K', '2R3L', '2R3M', '2R3N', '2R3O', '2R3P', '2R3Q', '2R3R', '2R64', '2UUE', '2UZB', '2UZD', '2UZE', '2UZL', '2UZN', '2UZO', '2V0D', '2V22', '2VTA', '2VTH', '2VTI', '2VTJ', '2VTL', '2VTM', '2VTN', '2VTO', '2VTP', '2VTQ', '2VTR', '2VTS', '2VTT', '2VU3', '2VV9', '2W05', '2W06', '2W17', '2W1H', '2WEV', '2WFY', '2WHB', '2WIH', '2WIP', '2WMA', '2WMB', '2WPA', '2WXV', '2X1N', '2XMY', '2XNB', '3BHT', '3BHU', '3BHV', '3DDP', '3DDQ', '3DOG', '3EID', '3EJ1', '3EOC', '3EZR', '3EZV', '3F5X', '3FZ1', '3IG7', '3IGG', '3LE6', '3LFN', '3LFQ', '3LFS', '3MY5', '3NS9', '3PJ8', '3PXF', '3PXQ', '3PXR', '3PXY', '3PXZ', '3PY0', '3PY1', '3QHR', '3QHW', '3QL8', '3QQF', '3QQG', '3QQH', '3QQJ', '3QQK', '3QQL', '3QRT', '3QRU', '3QTQ', '3QTR', '3QTS', '3QTU', '3QTW', '3QTX', '3QTZ', '3QU0', '3QWJ', '3QWK', '3QX2', '3QX4', '3QXO', '3QXP', '3QZF', '3QZG', '3QZH', '3QZI', '3R1Q', '3R1S', '3R1Y', '3R28', '3R6X', '3R71', '3R73', '3R7E', '3R7I', '3R7U', '3R7V', '3R7Y', '3R83', '3R8L', '3R8M', '3R8P', '3R8U', '3R8V', '3R8Z', '3R9D', '3R9H', '3R9N', '3R9O', '3RAH', '3RAI', '3RAK', '3RAL', '3RJC', '3RK5', '3RK7', '3RK9', '3RKB', '3RM6', '3RM7', '3RMF', '3RNI', '3ROY', '3RPO', '3RPR', '3RPV', '3RPY', '3RZB', '3S00', '3S0O', '3S1H', '3S2P', '3SQQ', '3SW4', '3SW7', '3TI1', '3TIY', '3TIZ', '3TNW', '3ULI', '3UNJ', '3UNK', '3WBL', '4ACM', '4BCK', '4BCM', '4BCN', '4BCO', '4BCP', '4BCQ', '4BGH', '4BZD', '4CFM', '4CFN', '4CFU', '4CFV', '4CFW', '4CFX', '4D1X', '4D1Z', '4EK3', '4EK4', '4EK5', '4EK6', '4EK8', '4EOI', '4EOJ', '4EOK', '4EOL', '4EOM', '4EON', '4EOO', '4EOP', '4EOQ', '4EOR', '4EOS', '4ERW', '4EZ3', '4EZ7', '4FKG', '4FKI', '4FKJ', '4FKL', '4FKO', '4FKP', '4FKQ', '4FKR', '4FKS', '4FKT', '4FKU', '4FKV', '4FKW', '4FX3', '4GCJ', '4I3Z', '4II5', '4KD1', '4LYN', '4NJ3', '4RJ3', '5A14', '5AND', '5ANE', '5ANG', '5ANI', '5ANJ', '5ANK', '5ANO', '5CYI', '5D1J', '5FP5', '5FP6', '5IEV', '5IEX', '5IEY', '5IF1', '5JQ5', '5JQ8', '5K4J', '5L2W', '5LMK', '5MHQ', '5NEV', '5OO0', '5OO1', '5OO3', '5OSJ', '5OSM', '5UQ1', '5UQ2', '5UQ3', '6ATH', '6GUB', '6GUC', '6GUE', '6GUF', '6GUH', '6GUK', '6GVA', '6INL', '6JGM', '6OQI', '6P3W', '6Q3B', '6Q3C', '6Q3F', '6Q48', '6Q49', '6Q4A', '6Q4B', '6Q4C', '6Q4D', '6Q4E', '6Q4F', '6Q4G', '6Q4H', '6Q4I', '6Q4J', '6Q4K', '6RIJ', '6SG4', '6YL1', '6YL6', '6YLK', '7ACK', '7B5L', '7B5R', '7E34', '7KJS', '7NVQ']",cyclin dependent kinase 2
Cdk3,CDK3,1018,ENSG00000250506,1LFN,cyclin dependent kinase 3
Cdk4,CDK4,1019,ENSG00000135446,"['1LD2', '2W96', '2W99', '2W9F', '2W9Z', '3G33', '5FWK', '5FWL', '5FWM', '5FWP', '6P8E', '6P8F', '6P8G', '6P8H']",cyclin dependent kinase 4
Cockayne syndrome group B (CSB) protein,syndrome,252800,,,syndrome
Crk,CRK,1398,ENSG00000167193,"['1JU5', '2DVJ', '2EYV', '2EYW', '2EYX', '2EYY', '2EYZ', '2MS4', '5UL6', '6ATV']","CRK proto-oncogene, adaptor protein"
Crk-L,LOC121859259,121859259,,,adapter molecule Crk-like
CrmA,CRMA,253868,,,cardiomyocyte maturation associated lncRNA
DAF-4,daf-4,175781,WBGene00000900,,Cell surface receptor daf-4;Receptor protein serine/threonine kinase;Serine/threonine-protein kinase receptor
DPC4,SMAD4,122902875,,,SMAD family member 4
DPI,dsp,779453,,,desmoplakin
DcR3,Dcr3,497118,,,decoy receptor 3
Duffy antigen,DARC,100500770,,,"Duffy blood group, chemokine receptor"
Dystrophin,DMD,1756,ENSG00000198947,"['1DXX', '1EG3', '1EG4', '3UUN']",dystrophin
E-cadherin,LOC655649,655649,TC004820,,E-cadherin
E2F1,E2F1,1869,ENSG00000101412,"['1H24', '1O9K', '2AZE', '5M9N', '5M9O', '6G0P', '6ULS']",E2F transcription factor 1
E2F4,E2F4,1874,ENSG00000205250,"['1CF7', '5TUU']",E2F transcription factor 4
E47,E47,14039107,,,E47
EBP,EBP,10682,ENSG00000147155,"['6OHT', '6OHU']",EBP cholestenol delta-isomerase
EBP delta,EBP,10682,ENSG00000147155,"['6OHT', '6OHU']",EBP cholestenol delta-isomerase
ECK,Eck,751080,,,ecdysteroid 22-kinase
EGF,EGF,1950,ENSG00000138798,"['1IVO', '1JL9', '1NQL', '1P9J', '2KV4', '3NJP']",epidermal growth factor
