surface,symbol,entrezgene or _id,ensembl_id,pdb_id,name
SigE,sigE,64178903,,,RNA polymerase sporulation sigma factor SigE
SigE,sigE,67523545,,,RNA polymerase sporulation sigma factor SigE
SigE,sigE,64195271,,,RNA polymerase sporulation sigma factor SigE
SigE,sigE,61469908,,,RNA polymerase sigma factor SigE
SigE,sigE,65398804,,,RNA polymerase sporulation sigma factor SigE
SigE,sigE,61289537,,,RNA polymerase sporulation sigma factor SigE
SigE,sigE,66834911,,,RNA polymerase sigma factor SigE
SigK,sigK,DDB_G0267476,DDB_G0267476,,
SigK,sigK,61925690,,,RNA polymerase sporulation sigma factor SigK
SigK,sigK,61925760,,,RNA polymerase sporulation sigma factor SigK
SigK,sigK,64195778,,,RNA polymerase sporulation sigma factor SigK
SigK,sigK,67525298,,,RNA polymerase sporulation sigma factor SigK
SigK,sigK,65305601,,,RNA polymerase sporulation sigma factor SigK
SigK,sigK,66319587,,,RNA polymerase sporulation sigma factor SigK
SigK,sigK,67508976,,,RNA polymerase sporulation sigma factor SigK
SigK,sigK,64346936,,,ECF RNA polymerase sigma factor SigK
SigK,sigK,65398800,,,RNA polymerase sporulation sigma factor SigK
SigL,sigL,987375,,,RNA polymerase factor sigma-54
SigL,sigL,936362,,,RNA polymerase sigma-54 factor (sigma-L)
SigL,sigL,888609,,"['3HUG', '6DV9', '6DVB', '6DVC', '6DVD', '6DVE', '6TYE', '6TYF', '6TYG']",ECF RNA polymerase sigma factor SigL
SigL,sigL,45424700,,"['3HUG', '6DV9', '6DVB', '6DVC', '6DVD', '6DVE', '6TYE', '6TYF', '6TYG']",sigma-70 family RNA polymerase sigma factor SigL
Spo0A,spo0A,61925934,,,sporulation transcription factor Spo0A
Spo0A,spo0A,61926679,,,sporulation transcription factor Spo0A
Spo0A,spo0A,65305978,,,sporulation transcription factor Spo0A
Spo0A,spo0A,67525139,,,sporulation transcription factor Spo0A
Spo0A,spo0A,64197391,,,sporulation transcription factor Spo0A
Spo0A,spo0A,64179507,,,sporulation transcription factor Spo0A
Spo0A,spo0A,56863220,,,sporulation transcription factor Spo0A
Spo0A,spo0A,66870379,,,sporulation transcription factor Spo0A
Spo0A,spo0A,66344603,,,sporulation transcription factor Spo0A
Spo0A,spo0A,66353625,,,sporulation transcription factor Spo0A
SpoIIAA,spoIIAA,67508712,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,67525076,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,65398169,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,64179675,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,66870415,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,29419697,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,66266355,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,64145902,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,61740565,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,57937105,,,anti-sigma F factor antagonist
SpoIIAB,spoIIAB,61925756,,,anti-sigma F factor
SpoIIAB,spoIIAB,67508711,,,anti-sigma F factor
SpoIIAB,spoIIAB,67525075,,,anti-sigma F factor
SpoIIAB,spoIIAB,66870416,,,anti-sigma F factor
SpoIIAB,spoIIAB,66266356,,,anti-sigma F factor
SpoIIAB,spoIIAB,56350237,,,anti-sigma F factor
SpoIIAB,spoIIAB,56926958,,,anti-sigma F factor
SpoIIAB,spoIIAB,66215509,,,anti-sigma F factor
SpoIIAB,spoIIAB,61740566,,,anti-sigma F factor
SpoIIAB,spoIIAB,61290259,,,anti-sigma F factor
SpoIIE,spoIIE,64181020,,,stage II sporulation protein E
SpoIIE,spoIIE,65400882,,,stage II sporulation protein E
SpoIIE,spoIIE,66318539,,,stage II sporulation protein E
SpoIIE,spoIIE,67521809,,,stage II sporulation protein E
SpoIIE,spoIIE,67504754,,,stage II sporulation protein E
SpoIIE,spoIIE,65307516,,,stage II sporulation protein E
SpoIIE,spoIIE,29419002,,,stage II sporulation protein E
SpoIIE,spoIIE,66379840,,,stage II sporulation protein E
SpoIIE,spoIIE,66355952,,,stage II sporulation protein E
SpoIIE,spoIIE,61744097,,,stage II sporulation protein E
SpoIIID,spoIIID,64180402,,,sporulation transcriptional regulator SpoIIID
SpoIIID,spoIIID,67526243,,,sporulation transcriptional regulator SpoIIID
SpoIIID,spoIIID,67509908,,,sporulation transcriptional regulator SpoIIID
SpoIIID,spoIIID,61742568,,,sporulation transcriptional regulator SpoIIID
SpoIIID,spoIIID,61291095,,,sporulation transcriptional regulator SpoIIID
SpoIIID,spoIIID,66352673,,,sporulation transcriptional regulator SpoIIID
SpoIIID,spoIIID,66872681,,,sporulation transcriptional regulator SpoIIID
SpoIIID,spoIIID,67474058,,,sporulation transcriptional regulator SpoIIID
SpoIIID,spoIIID,57937355,,,sporulation transcriptional regulator SpoIIID
SpoIIID,spoIIID,64144401,,,sporulation transcriptional regulator SpoIIID
YdjP,ydjP,936035,,,putative aminoacrylate hydrolase
YdjP,ydjP,59269610,,,AB hydrolase superfamily protein YdjP
YdjP,ydjP,41986063,,,AB hydrolase superfamily protein
YdjP,ydjP,59241809,,,AB hydrolase superfamily protein YdjP
YfhM,yfhM,58460728,,,alpha2-macroglobulin
YfhM,yfhM,66673592,,,alpha2-macroglobulin
YfhM,yfhM,912952,,,bacterial alpha2-macroglobulin colonization factor ECAM
YfhM,yfhM,947302,,"['4RTD', '4ZIQ', '4ZIU', '4ZJG', '4ZJH', '5A42']",alpha2-macroglobulin
YfhM,yfhM,67416904,,,alpha2-macroglobulin
YfhM,yfhM,66507508,,,alpha-2-macroglobulin family protein
YfhM,yfhM,60669418,,,alpha2-macroglobulin
YfhP,yfhP,936190,,,putative membrane hydrolase
YfhP,yfhP,1254066,,,Fe-S cluster assembly transcriptional regulator IscR
YtxH,ytxH,937312,,,hypothetical protein
YvyD,hpf,64305287,,,ribosome hibernation promotion factor
ald,ald,56578464,,,alanine dehydrogenase
ald,ALD,LMJF_36_1260,LMJF_36_1260,,
ald,ALD,EHI_098570,,,
ald,ald,45957174,,,alanine dehydrogenase
ald,ald,PPAI003159,PPAI003159,,
ald,ald,64067046,,,alanine dehydrogenase
ald,ald,64068473,,,alanine dehydrogenase
ald,ALD,22579158,,,"fructose-1,6-bisphosphate aldolase"
ald,ald,61472821,,,alanine dehydrogenase
ald,ald,67525599,,,alanine dehydrogenase
araE,araE,58388562,,,pseudo
araE,araE,58461984,,,arabinose-proton symporter AraE
araE,araE,60896740,,,arabinose-proton symporter AraE
araE,araE,66673292,,,arabinose-proton symporter AraE
araE,araE,1025850,,,low-affinity L-arabinose transport system proton symport protein
araE,araE,938567,,,arabinose-related compounds permease
araE,araE,1254539,,,arabinose:proton symporter
araE,araE,64305162,,,arabinose-proton symporter AraE
araE,araE,947341,,,arabinose:H(+) symporter
araE,araE,64172588,,,sugar porter family MFS transporter
bkd,Bkd,5656852,,,Blackoid
clpC,clpC,EGPrGTG00000000119,EGPrGTG00000000119,,
clpC,ClpC,39731318,,,"ATP-dependent Clp protease, putative"
clpC,clpC,67521846,,,ATP-dependent protease ATP-binding subunit ClpC
clpC,clpC,67504788,,,ATP-dependent protease ATP-binding subunit ClpC
clpC,ClpC,39871233,,,"ATP-dependent Clp protease, putative"
clpC,clpC,68638359,,,Clp protease ATP binding subunit
clpC,clpC,800182,,,Clp protease ATP binding subunit
clpC,clpC,68646907,,,ClpC
clpC,clpC,29070374,,,Clp protease ATP binding subunit
clpC,clpC,26381155,,,ATP-dependent clp protease ATP-binding subunit
comF,comF,11637098,,,amidophosphoribosyltransferase
cot,BD324DRAFT_622579,33557297,,,acyltransferase ChoActase/COT/CPT
cot,BD324DRAFT_630438,33558140,,,acyltransferase ChoActase/COT/CPT
cot,PGRI_070870,63710101,,,Acyltransferase ChoActase/COT/CPT
cot,BD324DRAFT_604005,33555778,,,acyltransferase ChoActase/COT/CPT
cot,CC77DRAFT_937923,29120173,,,acyltransferase ChoActase/COT/CPT
cot,PGRI_052570,63708270,,,Acyltransferase ChoActase/COT/CPT
cot,HD556DRAFT_1404780,64597712,,,acyltransferase ChoActase/COT/CPT
cot,LY89DRAFT_718753,28828168,,,acyltransferase ChoActase/COT/CPT
cot,HD556DRAFT_1327703,64595344,,,acyltransferase ChoActase/COT/CPT
cot,HD556DRAFT_1233074,64591326,,,acyltransferase ChoActase/COT/CPT
cotB,cotB,DDB_G0276761,DDB_G0276761,,
cotB,cotB,936870,,,spore coat protein (outer)
cotB,cotB,8620676,,,spore coat protein SP70
cotC,cotC,DDB_G0277141,DDB_G0277141,,
cotC,cotC,939543,,,spore coat protein (outer)
cotC,cotC,8620983,,,spore coat protein SP60
cotD,cotD,DDB_G0283149,DDB_G0283149,,
cotD,cotD,939051,,,spore coat protein (inner)
cotD,cotD,31357776,,,spore coat protein SP75
cotD,cotD,64303999,,,spore coat protein CotD
cotD,cotD,8623992,,,spore coat protein SP75
cotD,cotD,50137285,,,spore coat protein CotD
cotD,cotD,14871464,,,spore coat protein SP75
cotX,cotX,936417,,,spore coat protein (insoluble fraction)
cwlH,cwlH,937808,,,N-acetylmuramoyl-L-alanine amidase
degR,degR,939076,,,"activator of degradative enzymes (aprE, nprE, sacB) production or activity"
degR,degR,64303969,,,transcriptional regulator DegR
flgM,flgM,56663054,,,flagellar biosynthesis anti-sigma factor FlgM
flgM,flgM,29368091,,,flagellar biosynthesis anti-sigma factor FlgM
flgM,flgM,61634614,,,flagellar biosynthesis anti-sigma factor FlgM
flgM,flgM,63996145,,,flagellar biosynthesis anti-sigma factor FlgM
flgM,flgM,63996282,,,flagellar biosynthesis anti-sigma factor FlgM
flgM,flgM,58136145,,,flagellar biosynthesis anti-sigma factor FlgM
flgM,flgM,56892376,,,anti-sigma-28 factor FlgM
flgM,flgM,60843264,,,flagellar biosynthesis anti-sigma factor FlgM
flgM,flgM,60899375,,,anti-sigma-28 factor FlgM
flgM,flgM,60900649,,,anti-sigma-28 factor FlgM
ftsY,ftsY,56578635,,,signal recognition particle-docking protein FtsY
ftsY,ftsY,28662812,,,signal recognition particle-docking protein FtsY
ftsY,ftsY,60897334,,,signal recognition particle-docking protein FtsY
ftsY,ftsY,61388150,,,signal recognition particle-docking protein FtsY
ftsY,ftsY,63961911,,,signal recognition particle-docking protein FtsY
ftsY,ftsY,56450188,,,signal recognition particle-docking protein FtsY
ftsY,ftsY,60990731,,,signal recognition particle-docking protein FtsY
ftsY,ftsY,45959451,,,signal recognition particle-docking protein FtsY
ftsY,ftsY,49971916,,,signal recognition particle-docking protein FtsY
ftsY,ftsY,61064343,,,signal recognition particle-docking protein FtsY
gerE,gerE,67509142,,,spore germination transcription factor GerE
gerE,gerE,64145575,,,spore germination transcription factor GerE
gerE,gerE,56350726,,,spore germination transcription factor GerE
gerE,gerE,61741427,,,spore germination transcription factor GerE
gerE,gerE,66215028,,,spore germination transcription factor GerE
gerE,gerE,64321401,,,spore germination transcription factor GerE
gerE,gerE,64185797,,,spore germination transcription factor GerE
gerE,gerE,937462,,1FSE,transcriptional regulator required for the expression of late spore coat genes
gerE,gerE,66265945,,,spore germination transcription factor GerE
gerE,gerE,56418751,,,spore germination transcription factor GerE
gsiB,gsiB,56664366,,,glutathione ABC transporter substrate-binding protein GsiB
gsiB,gsiB,57505915,,,glutathione ABC transporter substrate-binding protein GsiB
gsiB,gsiB,61387047,,,glutathione ABC transporter substrate-binding protein GsiB
gsiB,gsiB,60899176,,,glutathione ABC transporter substrate-binding protein GsiB
gsiB,gsiB,58389748,,,glutathione ABC transporter substrate-binding protein GsiB
gsiB,gsiB,66826530,,,glutathione ABC transporter substrate-binding protein GsiB
gsiB,gsiB,60904109,,,glutathione ABC transporter substrate-binding protein GsiB
gsiB,gsiB,66590091,,,glutathione ABC transporter substrate-binding protein GsiB
gsiB,gsiB,66024510,,,glutathione ABC transporter substrate-binding protein GsiB
gsiB,gsiB,66604753,,,glutathione ABC transporter substrate-binding protein GsiB
hag,hag,67526020,,,flagellin Hag
hag,hag,61289445,,,flagellin Hag
hag,hag,66214269,,,flagellin Hag
hag,hag,61573243,,,flagellin Hag
hag,hag,936742,,"['5MAW', '5WJT', '6GOW']",flagellin protein
hag,hag,64835215,,,flagellin Hag
hag,hag,64834604,,,flagellin Hag
hag,hag,61743129,,,flagellin Hag
hag,hag,61743130,,,flagellin Hag
hag,hag,66217858,,,flagellin Hag
katX,katX,61743738,,,catalase KatX
katX,katX,937399,,,major catalase in spores
katX,katX,61768349,,,catalase KatX
katX,katX,64305644,,,catalase KatX
katX,katX,66323906,,,catalase KatX
katX,katX,66324443,,,catalase KatX
katX,katX,66361564,,,catalase KatX
kdgR,kdgR,58135177,,,DNA-binding transcriptional regulator KdgR
kdgR,kdgR,58390962,,,DNA-binding transcriptional regulator KdgR
kdgR,kdgR,60899997,,,DNA-binding transcriptional regulator KdgR
kdgR,kdgR,58462263,,,DNA-binding transcriptional regulator KdgR
kdgR,kdgR,57431271,,,DNA-binding transcriptional regulator KdgR
kdgR,kdgR,57504219,,,DNA-binding transcriptional regulator KdgR
kdgR,kdgR,60930800,,,DNA-binding transcriptional regulator KdgR
kdgR,kdgR,61417730,,,DNA-binding transcriptional regulator KdgR
kdgR,kdgR,64098952,,,DNA-binding transcriptional regulator KdgR
kdgR,kdgR,64089510,,,DNA-binding transcriptional regulator KdgR
nadE,nadE,64000872,,,NAD(+) synthase
nadE,nadE,64441650,,,ammonia-dependent NAD(+) synthetase
nadE,nadE,63961576,,,NAD(+) synthase
nadE,nadE,29370959,,,ammonia-dependent NAD(+) synthetase
nadE,nadE,61639402,,,ammonia-dependent NAD(+) synthetase
nadE,nadE,61931103,,,pseudo
nadE,nadE,56451503,,,NAD(+) synthase
nadE,nadE,61324240,,,NAD(+) synthase
nadE,nadE,57107934,,,NAD(+) synthase
nadE,nadE,45956627,,,ammonia-dependent NAD(+) synthetase
phrC,phrC,938281,,,secreted regulator of the activity of phosphatase RapC and competence and sporulation stimulating factor (CSF)
phrC,phrC,64302239,,4GYO,phosphatase RapC inhibitor PhrC
rocG,rocG,937066,,3K92,glutamate dehydrogenase
rocG,rocG,64305552,,,glutamate dehydrogenase
rocG,rocG,50135643,,,glutamate dehydrogenase
rsfA,rsfA,64305535,,,prespore-specific transcription regulator RsfA
rsfA,rsfA,886794,,,anti-sigma-F factor antagonist RsfA
rsfA,rsfA,45425345,,,anti-sigma-F factor antagonist RsfA
sigB,sigB,DDB_G0293364,DDB_G0293364,,
sigB,sigB,61499910,,,RNA polymerase sigma factor SigB
sigB,sigB,64260689,,,sigma-70 family RNA polymerase sigma factor SigB
sigB,sigB,67505704,,,RNA polymerase sigma factor SigB
sigB,sigB,64048757,,,RNA polymerase sigma factor SigB
sigB,sigB,67522028,,,RNA polymerase sigma factor SigB
sigB,SIGB,AT1G08540,,,RNA polymerase sigma factor sigB
sigB,sigB,56347570,,,RNA polymerase sigma factor SigB
sigB,sigB,61743810,,,RNA polymerase sigma factor SigB
sigB,sigB,64149744,,,RNA polymerase sigma factor SigB
sigE,SIGE,A4A49_16573,,,
sigE,sigE,DDB_G0277921,DDB_G0277921,,
sigE,sigE,67508538,,,RNA polymerase sporulation sigma factor SigE
sigE,sigE,64178903,,,RNA polymerase sporulation sigma factor SigE
sigE,sigE,67523545,,,RNA polymerase sporulation sigma factor SigE
sigE,sigE,64195271,,,RNA polymerase sporulation sigma factor SigE
sigE,sigE,61469908,,,RNA polymerase sigma factor SigE
sigE,sigE,65398804,,,RNA polymerase sporulation sigma factor SigE
sigE,sigE,61289537,,,RNA polymerase sporulation sigma factor SigE
sigE,sigE,66834911,,,RNA polymerase sigma factor SigE
sigK,sigK,DDB_G0267476,DDB_G0267476,,
sigK,sigK,61925690,,,RNA polymerase sporulation sigma factor SigK
sigK,sigK,61925760,,,RNA polymerase sporulation sigma factor SigK
sigK,sigK,64195778,,,RNA polymerase sporulation sigma factor SigK
sigK,sigK,67525298,,,RNA polymerase sporulation sigma factor SigK
sigK,sigK,65305601,,,RNA polymerase sporulation sigma factor SigK
sigK,sigK,66319587,,,RNA polymerase sporulation sigma factor SigK
sigK,sigK,67508976,,,RNA polymerase sporulation sigma factor SigK
sigK,sigK,64346936,,,ECF RNA polymerase sigma factor SigK
sigK,sigK,65398800,,,RNA polymerase sporulation sigma factor SigK
sigW,sigW,61035854,,,pseudo
sigW,sigW,67521937,,,RNA polymerase sigma factor SigW
sigW,sigW,56347329,,,RNA polymerase sigma factor SigW
sigW,sigW,66217655,,,RNA polymerase sigma factor SigW
sigW,sigW,56924268,,,RNA polymerase sigma factor SigW
sigW,sigW,64149702,,,RNA polymerase sigma factor SigW
sigW,sigW,61742844,,,RNA polymerase sigma factor SigW
sigW,sigW,64324749,,,RNA polymerase sigma factor SigW
sigW,sigW,64220741,,,RNA polymerase sigma factor SigW
sigW,sigW,31573823,,,RNA polymerase sigma factor SigW
sigX,sigX,61634485,,,RNA polymerase sigma factor SigX
sigX,sigX,67525050,,,RNA polymerase sigma factor SigX
sigX,sigX,66821469,,,RNA polymerase sigma factor SigX
sigX,sigX,67381977,,,RNA polymerase sigma factor SigX
sigX,sigX,61740600,,,RNA polymerase sigma factor SigX
sigX,sigX,66215552,,,RNA polymerase sigma factor SigX
sigX,sigX,64444111,,,RNA polymerase sigma factor SigX
sigX,sigX,56926909,,,RNA polymerase sigma factor SigX
sigX,sigX,47558120,,,RNA polymerase sigma factor SigX
sigX,sigX,55647537,,,RNA polymerase sigma factor SigX
sigma 28,28,2700879,,,XRE family transcriptional regulator
sigma 28,28,1259241,,,tail protein
sigma 28,28,2657235,,,tape measure protein
sigma 28,28,2610588,,,baseplate hub distal subunit
sigma 28,28,3416218,,,gp28 baseplate distal hub subunit
sigma 28,28,4156543,,,gp28 base plate distal hub sub
sigma 28,28,3342512,,,Gp28
sigma 28,28,6940453,,,gp28
sigma 28,28,7397763,,,gp28
sigma 28,28,8250781,,,DUF2856 family protein
sigma 32,32,3416343,,,single-stranded DNA binding protein
sigma 32,32,2700883,,,hypothetical protein
sigma 32,32,1259245,,,hypothetical protein
sigma 32,32,2657166,,,hypothetical protein
sigma 32,32,2610511,,,single-stranded DNA binding protein
sigma 32,32,10323315,,,gp32 single-stranded DNA binding protein
sigma 32,32,4156574,,,single-stranded DNA binding protein
sigma 32,32,3342508,,,gp32
sigma 32,32,6940979,,,gp32
sigma 32,32,7397767,,,gp32
sigma B,b,34791,FBgn0000153,,black
sigma B,B,44798,,,Bar
sigma B,B,100532763,,,Brown
sigma B,B,1260630,,,gpB
sigma B,B,1260691,,,internal scaffolding protein
sigma B,B,8658815,,,AAA family ATPase
sigma B,B,3959394,,,gpB
sigma B,B,3959442,,,gpB
sigma B,B,3959421,,,gpB
sigma B,B,3959339,,,gpB
sigma F,f,32718,FBgn0262111,,forked
sigma F,F,2732801,,,fusion protein F
sigma F,F,37626949,,,fusion glycoprotein
sigma F,F,37626966,,,fusion protein
sigma F,F,951246,,,fusion protein
sigma F,F,1482628,,,fusion protein precursor
sigma F,F,21011775,,,fusion protein
sigma F,F,1446467,,"['1WP8', '5EJB', '6ILF', '6J2F']",fusion
sigma F,F,920954,,"['1WP7', '3N27', '5EVM', '6T3F', '6TYS', '7KI4']",fusion protein
sigma F,f,14340128,,,f protein
sigma G,g,44819,FBgn0001087,,garnet
sigma G,G,101260158,Solyc08g005010.3,,protein STAY-GREEN
sigma G,G,100787147,GLYMA_01G198500,,protein STAY-GREEN
sigma G,G,920955,,"['2VSM', '2VWD', '3D11', '3D12', '6VY5']",attachment glycoprotein
sigma G,G,926730,,,glycoprotein
sigma G,G,37626962,,,attachment glycoprotein
sigma G,G,5309643,,,glycoprotein
sigma G,G,26122642,,,glycoprotein
sigma G,G,2886019,,,G
sigma G,G,14857928,,,glycoprotein
sigma W,W,GMOY008686,GMOY008686,,head involution defective
sigma W,W,641598,,,ABC transmembrane transporter white
sigma W,W,101458180,,,protein white
sigma W,W,6030644,,,baseplate wedge subunit
sigma W,W,956130,,,GPW/gp25 family protein
sigma W,W,1260613,,,GPW/gp25 family protein
sigma W,W,2703525,,"['1HYW', '2L6Q', '2L6R']",gpW family protein
sigma W,W,105215537,,,protein white
sigma W,W,4157361,,,GPW/gp25 family protein
sigma W,W,5247164,,,GPW/gp25 family protein
sigma X,X,955443,,,X protein
sigma X,X,11272600,,,X protein
sigma X,X,1260605,,,tail protein X
sigma X,X,1260718,,,gene X product
sigma X,X,5729509,,,assembly
sigma X,X,17312461,,,unknown precursor
sigma X,X,18504810,,,tail protein
sigma X,X,37616323,,,PP3
sigma X,X,21011794,,,X protein
sigma X,X,1260892,,,gene X product
sigma(54),FOB87_RS09540,66734415,,,sigma 54 type regulator
sigma(54),KPHS_39890,11849032,,,sigma-54 modulation protein
sigma(54),FDG86_gp082,40069118,,,sigma 54 modulation factor
sigma(A),A6I63_sS1gp1,27246462,,,Sigma A
sigma(B),S3,36167244,,,sigma B
sigma(B),A6I63_sS2gp1,27246470,,,Sigma B
sigma(F),spoIIAB,61925756,,,anti-sigma F factor
sigma(F),spoIIAB,67508711,,,anti-sigma F factor
sigma(F),spoIIAB,67525075,,,anti-sigma F factor
sigma(F),DP125_RS05515,64179676,,,anti-sigma F factor
sigma(F),NPD11_RS10410,60853571,,,anti-sigma F factor
sigma(F),spoIIAB,66870416,,,anti-sigma F factor
sigma(F),spoIIAB,66266356,,,anti-sigma F factor
sigma(F),CTK_RS04300,29419696,,,anti-sigma F factor
sigma(F),spoIIAB,56350237,,,anti-sigma F factor
sigma(F),spoIIAB,56926958,,,anti-sigma F factor
sigma(G),csfB,64301845,,,anti-sigma-G factor
sigma(G),CHH52_RS20725,61575350,,,"sigma-G inhibitor, Gin"
sigma(H),ref(1)H,252517,,,refractory to sigma H
sigma(K),49,19686379,,,sigma-K factor
sigma(X),comW,66805180,,,sigma(X)-activator ComW
sigma(X),C6X95_RS00325,61740601,,,sigma X negative regulator
sigma(X),DIC78_RS19900,50137194,,,sigma-X negative effector
sigma(X),comW,48424286,,,sigma(X)-activator ComW
sigma(X),comW,69059837,,,sigma(X)-activator ComW
sigmaA,S2,18733197,,,sigmaA
sigmaE,C6X95_RS12395,61742971,,,sigmaE regulated sporulation protein
sigmaF,nrsF,7332035,,,Anti-sigmaF factor NrsF
sigmaK,MWSIV6_RS07985,30671215,,,sigmaK-factor processing regulatory BofA
spo0A,spo0A,61925934,,,sporulation transcription factor Spo0A
spo0A,spo0A,61926679,,,sporulation transcription factor Spo0A
spo0A,spo0A,65305978,,,sporulation transcription factor Spo0A
spo0A,spo0A,67525139,,,sporulation transcription factor Spo0A
spo0A,spo0A,64197391,,,sporulation transcription factor Spo0A
spo0A,spo0A,64179507,,,sporulation transcription factor Spo0A
spo0A,spo0A,56863220,,,sporulation transcription factor Spo0A
spo0A,spo0A,66870379,,,sporulation transcription factor Spo0A
spo0A,spo0A,66344603,,,sporulation transcription factor Spo0A
spo0A,spo0A,66353625,,,sporulation transcription factor Spo0A
spoIVA,spoIVA,61925956,,,stage IV sporulation protein A
spoIVA,spoIVA,67525010,,,stage IV sporulation protein A
spoIVA,spoIVA,64178916,,,stage IV sporulation protein A
spoIVA,spoIVA,67506211,,,stage IV sporulation protein A
spoIVA,spoIVA,66319601,,,stage IV sporulation protein A
