surface,symbol,_id,entrezgene,ensembl_id,pdb_id,name
C4,c4,108433798,108433798,ENSPNAG00000001029,,complement component 4
C4,c4,111851310,111851310,ENSPKIG00000002309,,complement component 4
C8,C8,14515877,14515877,,,ncRNA
C8,c8,58571890,58571890,,,C8
C8,c8,2777468,2777468,,,C8
CC CKR1,CC,105682217,105682217,,,Coat color
CC CKR1,CC,105682216,105682216,,,Coat color
CC CKR1,CC,407413,407413,,,Coat color
CC CKR1,CC,105682218,105682218,,,Coat color
CC CKR3,CC,105682217,105682217,,,Coat color
CC CKR3,CC,105682216,105682216,,,Coat color
CC CKR3,CC,407413,407413,,,Coat color
CC CKR3,CC,105682218,105682218,,,Coat color
CC chemokine liver-expressed chemokine,CC,105682217,105682217,,,Coat color
CC chemokine liver-expressed chemokine,CC,105682216,105682216,,,Coat color
CC chemokine liver-expressed chemokine,CC,407413,407413,,,Coat color
CC chemokine liver-expressed chemokine,CC,105682218,105682218,,,Coat color
CCR-5,CCR5,105540428,105540428,,,C-C motif chemokine receptor 5
CCR-5,CCR5,115834714,115834714,,,C-C motif chemokine receptor 5
CCR-5,CCR5,117080157,117080157,,,C-C motif chemokine receptor 5
CD26,MCTC,100531238,100531238,,,CD8+CD26+CD45+ cell number
CD26,MTHC,100531796,100531796,,,CD4+CD26+CD45+ cell number
CD3,Cd3g,12502,12502,ENSMUSG00000002033,1,"CD3 antigen, gamma polypeptide"
CD3,Cd3e,12501,12501,ENSMUSG00000032093,1JBJ,"CD3 antigen, epsilon polypeptide"
CD3,Cd3d,12500,12500,ENSMUSG00000032094,,"CD3 antigen, delta polypeptide"
CD45,ACTC,100532354,100532354,,,CD8+CD25+CD45+ cell number
CD45,MCTC,100531238,100531238,,,CD8+CD26+CD45+ cell number
CD45,MTHC,100531796,100531796,,,CD4+CD26+CD45+ cell number
CD45,ACTC,100531237,100531237,,,CD8+CD25+CD45+ cell number
CRP3,crp3,100141350,100141350,ENSDARG00000042613,,C-reactive protein 3
CRP3,crp3,41332465,41332465,,,hypothetical protein CRP3
CTF,comK,936338,936338,,,competence transcription factor (CTF)
CTF,PTSG_01723,16078297,16078297,,,presenilin-2 CTF subunit
Cyclin E,E,10040184,10040184,,,E protein
Cyclin E,E,100532765,100532765,,,Extension
Cyclin E,e,2610524,2610524,,,e
Cyclin E,e,4156375,4156375,,,e lysozyme
Cyclin E,e,10323437,10323437,,,e lysozyme
Cyclin E,E,1260620,1260620,,,tail assembly protein
Cyclin E,E,1489671,1489671,,2MM4,small envelope protein
Cyclin E,E,55060282,55060282,,,envelope protein
Cyclin E,E,7040227,7040227,,,small membrane protein
Cyclin E,E,7040216,7040216,,,small membrane protein
DNA polymerase delta,polymerase,940229,940229,,,putative RNA-dependent RNA polymerase
DNA polymerase delta,polymerase,956582,956582,,,RNA polymerase
Desmoplakin,desmoplakin,1463319,1463319,,,desmoplakin
Desmoplakin,desmoplakin,951777,951777,,,putative desmoplakin
Desmoplakin,desmoplakin,26374019,26374019,,,desmoplakin
Desmoplakin,desmoplakin,26040012,26040012,,,Desmoplakin
E12,E12,26196534,26196534,,,protein E12
E12,e12,1261164,1261164,,,transcription regulator
E12,e12,18479498,18479498,,,hypothetical protein
E12,e12,1261753,1261753,,,-
E1A,E1A,6870531,6870531,,,control protein E1A
E1A,E1A,2958468,2958468,,,E1A
E1A,E1A,6386278,6386278,,,control protein E1A
E1A,E1A,2715915,2715915,,,control protein E1A
E1A,E1A,24271521,24271521,,,control protein E1A
E1A,E1A,2652980,2652980,,,control protein E1A;control protein E1A 243R
E1A,E1A,1460853,1460853,,,control protein E1A
E1A,E1a,25395998,25395998,,,E1a_19K
E1A,E1A,3126069,3126069,,,E1A
E1A,E1A,28544358,28544358,,,early E1A 25 kDa protein
E1B,E1B,6870515,6870515,,,control protein E1B 19K;control protein E1B 55K
E1B,E1B,6386275,6386275,,,control protein E1B 19K;control protein E1B 55K
E1B,E1B,2958470,2958470,,,E1B 19K;E1B 55K
E1B,E1B,24271511,24271511,,,control protein E1B 19K;control protein E1B 55K
E1B,E1B,2715936,2715936,,,control protein E1B 19K;control protein E1B 55K
E1B,E1B,1460854,1460854,,,control protein E1B 19K;control protein E1B 55K
E1B,E1B,2652981,2652981,,,control protein E1B 19K;control protein E1B 55K
E1B,E1B,63843183,63843183,,,mitochondrial precursor/oxidoreductse activity protein
E1B,E1b,25395996,25395996,,,E1b_55K
E1B,E1B,3126070,3126070,,,E1B 19 kDa protein;E1B 55 kDa protein
E2A,E2A,6870526,6870526,,,single-stranded DNA-binding protein
E2A,E2A,2715921,2715921,,,single-stranded DNA-binding protein
E2A,E2A,5739976,5739976,,,-
E2A,E2A,24271510,24271510,,,-
E2A,E2A,1460850,1460850,,,single-stranded DNA-binding protein
E2A,E2A,2958469,2958469,,,DBP
E2A,E2A,6386281,6386281,,,single-stranded DNA-binding protein
E2A,E2A,26196517,26196517,,,protein E2A
E2F-1,TraAM80_02144,40326077,40326077,,,E2F target protein 1
E2F-1,Tco025E_04111,40317722,40317722,,,E2F target protein 1
E2F-1,TM35_000212820,39986912,39986912,,,E2F target protein 1
E7,e7,100136030,100136030,ENSOMYG00000006974,,type I keratin E7
E7,E7,1497244,1497244,,,early protein 7
E7,E7,951229,951229,,,putative E7 protein
E7,E7,1403630,1403630,,,transforming protein E7
E7,E7,1403639,1403639,,,transforming protein E7
E7,E7,1403622,1403622,,,transforming protein E7
E7,E7,4074304,4074304,,,E7
E7,E7,7559100,7559100,,,early protein E7
E7,E7,10146720,10146720,,,E7
E7,E7,10146728,10146728,,,E7
ECK receptor protein-tyrosine kinase,Eck,751080,751080,,,ecdysteroid 22-kinase
ECK receptor protein-tyrosine kinase,RECEPTOR,443145,443145,,,neuropilin-1
ET- I,I,1260615,1260615,,,tail protein I
ET- I,I,6775101,6775101,,,PI
ET- I,I,1260934,1260934,,,DNA polymerase
ET- I,I,8658843,8658843,,,protease
ET- I,I,7020955,7020955,,,hypothetical protein I
ET- I,I,3707888,3707888,,,DNA polymerase
ET- I,I,40093773,40093773,,,tail assembly protein
ET- I,I,18504818,18504818,,,baseplate assembly protein
ET- I,I,1261864,1261864,,,assembly protein
ET- I,I,2703515,2703515,,,tail assembly protein
ErbB-2,LOC101074842,101074842,101074842,ENSTRUG00000004330,,receptor tyrosine-protein kinase erbB-2
ErbB-2,LOC102737030,102737030,102737030,,,receptor tyrosine-protein kinase erbB-2
ErbB-2,LOC108702492,108702492,108702492,,,receptor tyrosine-protein kinase erbB-2
ErbB-2,LOC121442379,121442379,121442379,,,receptor tyrosine-protein kinase erbB-2
ErbB-2,LOC103064137,103064137,103064137,,,receptor tyrosine-protein kinase erbB-2
ErbB-2,LOC121456320,121456320,121456320,,,receptor tyrosine-protein kinase erbB-2
ErbB-2,LOC102064043,102064043,102064043,,,receptor tyrosine-protein kinase erbB-2
ErbB-4,LOC105023139,105023139,105023139,ENSELUG00000002509,,receptor tyrosine-protein kinase erbB-4
ErbB-4,LOC105937088,105937088,105937088,ENSFHEG00000011982,,receptor tyrosine-protein kinase erbB-4
ErbB-4,LOC101478875,101478875,101478875,ENSMZEG00005010084,,receptor tyrosine-protein kinase erbB-4
ErbB-4,si:ch73-383l1.1,108440448,108440448,ENSPNAG00000006075,,receptor tyrosine-protein kinase erbB-4
ErbB-4,LOC108433052,108433052,108433052,ENSPNAG00000013421,,receptor tyrosine-protein kinase erbB-4
ErbB-4,LOC105016195,105016195,105016195,ENSELUG00000012207,,receptor tyrosine-protein kinase erbB-4
ErbB-4,LOC108242203,108242203,108242203,ENSKMAG00000003490,,receptor tyrosine-protein kinase erbB-4
ErbB-4,LOC102231767,102231767,102231767,ENSXMAG00000016012,,receptor tyrosine-protein kinase erbB-4
ErbB-4,LOC100709873,100709873,100709873,ENSONIG00000004212,,receptor tyrosine-protein kinase erbB-4
Ets,ets,445717,445717,ENSCING00000007752,,Ets protein
Ets,Ets,692446,692446,,,transcription factor Ets
Ets,Ets,100313592,100313592,,,ETS transcription factor
Ets,ets,4643004,4643004,,,ETS
Ets,ets,1488669,1488669,,,ETS
FGF-1,fgf-1,13842678,13842678,,,fibrobast growth factor 1
FGF-1,fgf-1,5184183,5184183,,,fgf-1
FGF-1,fgf-1,20712741,20712741,,,fibroblast growth factor 1
FGF-1,fgf-1,4155902,4155902,,,FGF-1
FGF-2,fgf-2,13842641,13842641,,,fibroblast growth factor 2
FGF-2,fgf-2,5184230,5184230,,,fgf-2
FGF-2,fgf-2,20712838,20712838,,,fibroblast growth factor 2
FGF-2,fgf-2,4155959,4155959,,,FGF-2
FKBP12-rapamycin-associated protein,BDCG_07258,69029023,69029023,,,FKBP12-rapamycin complex-associated protein
FKBP12-rapamycin-associated protein,BDBG_07074,8502816,8502816,,,FKBP12-rapamycin complex-associated protein
FKBP12-rapamycin-associated protein,FSUBG_9181,59322384,59322384,,,FKBP12-rapamycin complex-associated protein
FKBP12-rapamycin-associated protein,FTJAE_6465,59305350,59305350,,,FKBP12-rapamycin complex-associated protein
FRAP,ACA1_170670,14925315,14925315,,,FRAP-related family protein
FRAP,ACA1_344580,14912479,14912479,,,FRAP subfamily protein kinase
FRAP,tor,8623240,8623240,,,FRAP subfamily protein kinase
Fra1,FRA1,834833,834833,AT5G47820,,P-loop containing nucleoside triphosphate hydrolases superfamily protein
G alpha beta gamma,gamma,911733,911733,,,-
G alpha beta gamma,gamma,26122870,26122870,,,gamma protein
G alpha beta gamma,gamma,21011882,21011882,,,gamma protein
G alpha beta gamma,gamma,26122884,26122884,,,gamma protein
G alpha beta gamma,gamma,12218649,12218649,,,gamma protein
G alpha beta gamma,gamma,20964421,20964421,,,gamma protein
G alpha beta gamma,gamma,21011850,21011850,,,gamma protein
G alpha i2,I2,39732493,39732493,,,"protein phosphatase inhibitor 2, putative"
G alpha i2,I2,39735857,39735857,,,"protein phosphatase inhibitor 2, putative"
G beta 2,g,44819,44819,FBgn0001087,,garnet
G beta 2,G,101260158,101260158,Solyc08g005010.3,,protein STAY-GREEN
G beta 2,G,100787147,100787147,GLYMA_01G198500,,protein STAY-GREEN
G beta 2,G,920955,920955,,2VSM,attachment glycoprotein
G beta 2,G,926730,926730,,,glycoprotein
G beta 2,G,37626962,37626962,,,attachment glycoprotein
G beta 2,G,5309643,5309643,,,glycoprotein
G beta 2,G,26122642,26122642,,,glycoprotein
G beta 2,G,2886019,2886019,,,G
G beta 2,G,14857928,14857928,,,glycoprotein
G beta 2 subunit,g,44819,44819,FBgn0001087,,garnet
G beta 2 subunit,G,101260158,101260158,Solyc08g005010.3,,protein STAY-GREEN
G beta 2 subunit,G,100787147,100787147,GLYMA_01G198500,,protein STAY-GREEN
G beta 2 subunit,G,920955,920955,,2VSM,attachment glycoprotein
G beta 2 subunit,G,926730,926730,,,glycoprotein
G beta 2 subunit,G,37626962,37626962,,,attachment glycoprotein
G beta 2 subunit,G,5309643,5309643,,,glycoprotein
G beta 2 subunit,G,26122642,26122642,,,glycoprotein
G beta 2 subunit,G,2886019,2886019,,,G
G beta 2 subunit,G,14857928,14857928,,,glycoprotein
G beta gamma,gamma,911733,911733,,,-
G beta gamma,gamma,26122870,26122870,,,gamma protein
G beta gamma,gamma,21011882,21011882,,,gamma protein
G beta gamma,gamma,26122884,26122884,,,gamma protein
G beta gamma,gamma,12218649,12218649,,,gamma protein
G beta gamma,gamma,20964421,20964421,,,gamma protein
G beta gamma,gamma,21011850,21011850,,,gamma protein
G cathepsin,g,44819,44819,FBgn0001087,,garnet
G cathepsin,G,101260158,101260158,Solyc08g005010.3,,protein STAY-GREEN
G cathepsin,G,100787147,100787147,GLYMA_01G198500,,protein STAY-GREEN
G cathepsin,G,920955,920955,,2VSM,attachment glycoprotein
G cathepsin,G,926730,926730,,,glycoprotein
G cathepsin,G,37626962,37626962,,,attachment glycoprotein
G cathepsin,G,5309643,5309643,,,glycoprotein
G cathepsin,G,26122642,26122642,,,glycoprotein
G cathepsin,G,2886019,2886019,,,G
G cathepsin,G,14857928,14857928,,,glycoprotein
G-protein beta gamma,gamma,911733,911733,,,-
G-protein beta gamma,gamma,26122870,26122870,,,gamma protein
G-protein beta gamma,gamma,21011882,21011882,,,gamma protein
G-protein beta gamma,gamma,26122884,26122884,,,gamma protein
G-protein beta gamma,gamma,12218649,12218649,,,gamma protein
G-protein beta gamma,gamma,20964421,20964421,,,gamma protein
G-protein beta gamma,gamma,21011850,21011850,,,gamma protein
GCH,GCH,836551,836551,AT5G64300,,GTP cyclohydrolase II
GS,Gs,109550,109550,,,greasy
GS,gs,14835,14835,,,glabrous
GSK-3,gsk-3,173149,173149,WBGene00001746,,Glycogen synthase kinase-3
GTP cyclohydrolase I,I,1260615,1260615,,,tail protein I
GTP cyclohydrolase I,I,6775101,6775101,,,PI
GTP cyclohydrolase I,I,1260934,1260934,,,DNA polymerase
GTP cyclohydrolase I,I,8658843,8658843,,,protease
GTP cyclohydrolase I,I,7020955,7020955,,,hypothetical protein I
GTP cyclohydrolase I,I,3707888,3707888,,,DNA polymerase
GTP cyclohydrolase I,I,40093773,40093773,,,tail assembly protein
GTP cyclohydrolase I,I,18504818,18504818,,,baseplate assembly protein
GTP cyclohydrolase I,I,1261864,1261864,,,assembly protein
GTP cyclohydrolase I,I,2703515,2703515,,,tail assembly protein
Hepatitis B virus X protei,B,44798,44798,,,Bar
Hepatitis B virus X protei,B,100532763,100532763,,,Brown
Hepatitis B virus X protei,B,1260630,1260630,,,gpB
Hepatitis B virus X protei,B,1260691,1260691,,,internal scaffolding protein
Hepatitis B virus X protei,B,8658815,8658815,,,AAA family ATPase
Hepatitis B virus X protei,B,3959394,3959394,,,gpB
Hepatitis B virus X protei,B,3959442,3959442,,,gpB
Hepatitis B virus X protei,B,3959421,3959421,,,gpB
Hepatitis B virus X protei,B,3959339,3959339,,,gpB
Hepatitis B virus X protei,B,3959408,3959408,,,gpB
Hepatitis B virus X protein,B,44798,44798,,,Bar
Hepatitis B virus X protein,B,100532763,100532763,,,Brown
Hepatitis B virus X protein,B,1260630,1260630,,,gpB
Hepatitis B virus X protein,B,1260691,1260691,,,internal scaffolding protein
Hepatitis B virus X protein,B,8658815,8658815,,,AAA family ATPase
Hepatitis B virus X protein,B,3959394,3959394,,,gpB
Hepatitis B virus X protein,B,3959442,3959442,,,gpB
Hepatitis B virus X protein,B,3959421,3959421,,,gpB
Hepatitis B virus X protein,B,3959339,3959339,,,gpB
Hepatitis B virus X protein,B,3959408,3959408,,,gpB
Hip,HIP,39729273,39729273,,,"Hsc70-interacting protein, putative"
Hip,HIP,7900576,7900576,TGME49_232660,,Hsp70 interacting protein HIP
Hip,HIP,39736509,39736509,,,"Hsc70-interacting protein, putative"
Hip,HIP,318211,318211,FBgn0260484,,Hsc/Hsp70-interacting protein
IFN-gamma R alpha,alpha,12216924,12216924,,,alpha 1 protein;alpha 2 protein
IFN-gamma R alpha,alpha,26123214,26123214,,,alpha 1 protein;alpha 2 protein
IFN-gamma R alpha,alpha,911731,911731,,,alpha 1 protein;alpha 2 protein;alpha 3 protein
IFN-gamma R alpha,alpha,26122868,26122868,,,alpha1 protein;alpha2 protein
IFN-gamma R alpha,alpha,21011880,21011880,,,alpha1 protein;alpha2 protein
IFN-gamma R alpha,alpha,12218647,12218647,,,alpha 1 protein;alpha 2 protein
IFN-gamma R alpha,alpha,21011848,21011848,,,alpha1 protein;alpha2 protein
IFN-gamma R alpha,alpha,20964419,20964419,,,alpha 1 protein;alpha 2 protein
IFN-gamma R beta,r,32640,32640,FBgn0003189,,rudimentary
IFN-gamma SC1,SC1,100884165,100884165,,,voltage-dependent cation channel SC1
IFN-gamma SC1,SC1,9585091,9585091,,,fungal hydrophobin SC1
IGF-1,Igf1sl4,100034947,100034947,,,IGF-1 serum levels 4
IGF-1,Igf1sl2,100034946,100034946,,,IGF-1 serum levels 2
IGF-1,Igf1sl3,100035798,100035798,,,IGF-1 serum levels 3
IGF-1,Igf1sl1,492979,492979,,,IGF-1 serum levels 1
IGF-1R beta,betA,60681909,60681909,,,choline dehydrogenase
IGF-1R beta,betA,61051597,61051597,,,choline dehydrogenase
IGF-1R beta,betA,60253976,60253976,,,choline dehydrogenase
IGF-1R beta,betA,45956561,45956561,,,choline dehydrogenase
IGF-1R beta,betA,58138987,58138987,,,choline dehydrogenase
IGF-1R beta,betA,66383652,66383652,,,choline dehydrogenase
IGF-1R beta,betA,58391691,58391691,,,choline dehydrogenase
IGF-1R beta,betA,61316828,61316828,,,choline dehydrogenase
IGF-1R beta,betA,61635557,61635557,,,choline dehydrogenase
IGF-1R beta,betA,60851331,60851331,,,choline dehydrogenase
IL-1,BIZ96_gp023,29057601,29057601,,,il-1 receptor antagonist
IL-1,BIZ96_gp192,29057770,29057770,,,il-1 beta receptor
IL-1,YKV186,11107321,11107321,,,IL-1 receptor antagonist
IL-1,YKV001c,11107331,11107331,,,IL-1 receptor antagonist
IL-1,DpV83gp054,3346395,3346395,,,IL-1 receptor antagonist
IL-1,BI079_gp192,29064139,29064139,,,il-1 beta receptor
IL-1,BI079_gp023,29063970,29063970,,,il-1 receptor antagonist
IL-1,ACG19_gp020,24528054,24528054,,,IL-1 receptor antagonist
IL-1,ACG19_gp188,24528222,24528222,,,IL-1-beta-receptor
IL-1,CKM52_gp022,33867948,33867948,,,IL-1 receptor antagonist
IL-1-receptor,BIZ96_gp023,29057601,29057601,,,il-1 receptor antagonist
IL-1-receptor,YKV186,11107321,11107321,,,IL-1 receptor antagonist
IL-1-receptor,YKV001c,11107331,11107331,,,IL-1 receptor antagonist
IL-1-receptor,DpV83gp054,3346395,3346395,,,IL-1 receptor antagonist
IL-1-receptor,BI079_gp023,29063970,29063970,,,il-1 receptor antagonist
IL-1-receptor,ACG19_gp020,24528054,24528054,,,IL-1 receptor antagonist
IL-1-receptor,CKM52_gp022,33867948,33867948,,,IL-1 receptor antagonist
IL-1-receptor,BC341_gp005,28340332,28340332,,,il-1 receptor antagonist
IL-1-receptor,KM542_gp018,65100539,65100539,,,IL-1 receptor antagonist
IL-1-receptor,KM542_gp029,65100550,65100550,,,IL-1 receptor antagonist
IL-1-receptor antagonist,BIZ96_gp023,29057601,29057601,,,il-1 receptor antagonist
IL-1-receptor antagonist,YKV186,11107321,11107321,,,IL-1 receptor antagonist
IL-1-receptor antagonist,YKV001c,11107331,11107331,,,IL-1 receptor antagonist
IL-1-receptor antagonist,DpV83gp054,3346395,3346395,,,IL-1 receptor antagonist
IL-1-receptor antagonist,BI079_gp023,29063970,29063970,,,il-1 receptor antagonist
IL-1-receptor antagonist,ACG19_gp020,24528054,24528054,,,IL-1 receptor antagonist
IL-1-receptor antagonist,CKM52_gp022,33867948,33867948,,,IL-1 receptor antagonist
IL-1-receptor antagonist,BC341_gp005,28340332,28340332,,,il-1 receptor antagonist
IL-1-receptor antagonist,KM542_gp018,65100539,65100539,,,IL-1 receptor antagonist
IL-1-receptor antagonist,KM542_gp029,65100550,65100550,,,IL-1 receptor antagonist
IL-2R beta,betA,60681909,60681909,,,choline dehydrogenase
IL-2R beta,betA,61051597,61051597,,,choline dehydrogenase
IL-2R beta,betA,60253976,60253976,,,choline dehydrogenase
IL-2R beta,betA,45956561,45956561,,,choline dehydrogenase
IL-2R beta,betA,58138987,58138987,,,choline dehydrogenase
IL-2R beta,betA,66383652,66383652,,,choline dehydrogenase
IL-2R beta,betA,58391691,58391691,,,choline dehydrogenase
IL-2R beta,betA,61316828,61316828,,,choline dehydrogenase
IL-2R beta,betA,61635557,61635557,,,choline dehydrogenase
IL-2R beta,betA,60851331,60851331,,,choline dehydrogenase
IL-6,il-6,503562,503562,ENSTRUG00000008735,,interleukin-6
IL-6,IL-6,100628202,100628202,,,interleukin-6
IL-6R alpha,alpha,12216924,12216924,,,alpha 1 protein;alpha 2 protein
IL-6R alpha,alpha,26123214,26123214,,,alpha 1 protein;alpha 2 protein
IL-6R alpha,alpha,911731,911731,,,alpha 1 protein;alpha 2 protein;alpha 3 protein
IL-6R alpha,alpha,26122868,26122868,,,alpha1 protein;alpha2 protein
IL-6R alpha,alpha,21011880,21011880,,,alpha1 protein;alpha2 protein
IL-6R alpha,alpha,12218647,12218647,,,alpha 1 protein;alpha 2 protein
IL-6R alpha,alpha,21011848,21011848,,,alpha1 protein;alpha2 protein
IL-6R alpha,alpha,20964419,20964419,,,alpha 1 protein;alpha 2 protein
IL-7 receptor,il-7,100191071,100191071,ENSTRUG00000033482,,interleukin-7
IL-7 receptor,RECEPTOR,443145,443145,,,neuropilin-1
IL-8,il-8,100136039,100136039,ENSOMYG00000022444,,cxc chemokine-like
IL-8,IL-8,102090447,102090447,,,interleukin-8
IL-8,il-8,100534479,100534479,ENSONIG00000029754,,interleukin-8
Interferon-alpha,IFNA4,3441,3441,ENSG00000236637,,interferon alpha 4
Interferon-alpha,IFNA14,3448,3448,ENSG00000228083,,interferon alpha 14
Interferon-alpha,IFNA17,3451,3451,ENSG00000234829,,interferon alpha 17
Interferon-alpha,IFNA5,3442,3442,ENSG00000147873,,interferon alpha 5
Interferon-alpha,IFNA13,3447,3447,ENSG00000233816,3,interferon alpha 13
Interferon-alpha,IFNA2,3440,3440,ENSG00000188379,1ITF,interferon alpha 2
Interferon-alpha,IFNA7,3444,3444,ENSG00000214042,,interferon alpha 7
Interferon-alpha,IFNA10,3446,3446,ENSG00000186803,,interferon alpha 10
Interferon-alpha,IFNA8,3445,3445,ENSG00000120242,6,interferon alpha 8
Interferon-alpha,IFNA6,3443,3443,ENSG00000120235,,interferon alpha 6
Interleukin-1,IL1A,3552,3552,ENSG00000115008,1ITA,interleukin 1 alpha
Interleukin-1,IL1B,3553,3553,ENSG00000125538,1HIB,interleukin 1 beta
K1,K1,39738860,39738860,,,"potassium channel, putative"
K1,K1,4961511,4961511,,,K1
K1,K1,20224717,20224717,,,putative calcium dependent protein kinase
K2,K2,39730776,39730776,,,"potassium channel, putative"
K2,K2,39737397,39737397,,,"potassium channel, putative"
K2,K2,4961449,4961449,,,K2
K2,K2,20219756,20219756,,,putative calcium dependent protein kinase
K5,K5,100301494,100301494,BGIBMGA008978,,putative neuropeptide precursor protein
K5,K5,4961442,4961442,,,K5
KIP1,kip1,100301714,100301714,ENSOMYG00000038118,,Calcium and integrin-binding protein 1
LIGHT,light,100136319,100136319,ENSOMYG00000017259,,TNF superfamily member 14
LexA,lexA,56577403,56577403,,,transcriptional repressor LexA
LexA,lexA,61367334,61367334,,,transcriptional repressor LexA
LexA,lexA,56448398,56448398,,,transcriptional repressor LexA
LexA,lexA,61637769,61637769,,,transcriptional repressor LexA
LexA,lexA,63998705,63998705,,,transcriptional repressor LexA
LexA,lexA,63961745,63961745,,,transcriptional repressor LexA
LexA,lexA,61317498,61317498,,,transcriptional repressor LexA
LexA,lexA,45957356,45957356,,,transcriptional repressor LexA
LexA,lexA,61054247,61054247,,,transcriptional repressor LexA
LexA,lexA,67508337,67508337,,,transcriptional repressor LexA
MAP kinase,map,29367994,29367994,,,type I methionyl aminopeptidase
MAP kinase,map,29368810,29368810,,,type I methionyl aminopeptidase
MAP kinase,map,57754049,57754049,,,type I methionyl aminopeptidase
MAP kinase,map,60256392,60256392,,,type I methionyl aminopeptidase
MAP kinase,map,63999761,63999761,,,type I methionyl aminopeptidase
MAP kinase,map,61055725,61055725,,,type I methionyl aminopeptidase
MAP kinase,map,61282476,61282476,,,type I methionyl aminopeptidase
MAP kinase,map,61387025,61387025,,,type I methionyl aminopeptidase
MAP kinase,map,57108977,57108977,,,type I methionyl aminopeptidase
MAP kinase,map,60991370,60991370,,,type I methionyl aminopeptidase
MAP kinase kinase,map,29367994,29367994,,,type I methionyl aminopeptidase
MAP kinase kinase,map,29368810,29368810,,,type I methionyl aminopeptidase
MAP kinase kinase,map,57754049,57754049,,,type I methionyl aminopeptidase
MAP kinase kinase,map,60256392,60256392,,,type I methionyl aminopeptidase
