,surface,symbol,entrezgene or _id,ensembl_id,pdb_id,name
44,IkappaBbeta,Nfkbib,81525,ENSRNOG00000020063,,NFKB inhibitor beta
45,Imp3,IMP3,55272,ENSG00000177971,2CQJ,IMP U3 small nucleolar ribonucleoprotein 3
46,Imp4,IMP4,92856,ENSG00000136718,,IMP U3 small nucleolar ribonucleoprotein 4
47,Interleukin-6,IL6,3569,ENSG00000136244,"['1ALU', '1IL6', '1N2Q', '1P9M', '2IL6', '4CNI', '4J4L', '4NI7', '4NI9', '4O9H', '4ZS7', '5FUC', '7NXZ']",interleukin 6
48,Jak2,JAK2,3717,ENSG00000096968,"['2B7A', '2W1I', '2XA4', '3E62', '3E63', '3E64', '3FUP', '3IO7', '3IOK', '3JY9', '3KCK', '3KRR', '3LPB', '3Q32', '3RVG', '3TJC', '3TJD', '3UGC', '3ZMM', '4AQC', '4BBE', '4BBF', '4C61', '4C62', '4D0W', '4D0X', '4D1S', '4E4M', '4E6D', '4E6Q', '4F08', '4F09', '4FVP', '4FVQ', '4FVR', '4GFM', '4GMY', '4HGE', '4IVA', '4JI9', '4JIA', '4P7E', '4YTC', '4YTF', '4YTH', '4YTI', '4Z32', '4ZIM', '5AEP', '5CF4', '5CF5', '5CF6', '5CF8', '5HEZ', '5I4N', '5L3A', '5TQ3', '5TQ4', '5TQ5', '5TQ6', '5TQ7', '5TQ8', '5USY', '5USZ', '5UT0', '5UT1', '5UT2', '5UT3', '5UT4', '5UT5', '5UT6', '5WEV', '5WIJ', '5WIK', '5WIL', '5WIM', '5WIN', '6AAJ', '6BBV', '6BRW', '6BS0', '6BSS', '6D2I', '6DRW', '6E2P', '6E2Q', '6G3C', '6M9H', '6OAV', '6OBB', '6OBF', '6OBL', '6OCC', '6TPD', '6VGL', '6VN8', '6VNB', '6VNC', '6VNE', '6VNF', '6VNG', '6VNH', '6VNI', '6VNJ', '6VNK', '6VNL', '6VNM', '6VS3', '6VSN', '6WTN', '6WTO', '6WTP', '6WTQ', '6X8E', '6XJK']",Janus kinase 2
49,LDL receptor,RECEPTOR,443145,,,neuropilin-1
50,LDLR,LDLR,3949,ENSG00000130164,"['1AJJ', '1D2J', '1F5Y', '1F8Z', '1HJ7', '1HZ8', '1I0U', '1IJQ', '1LDL', '1LDR', '1LRX', '1N7D', '1XFE', '2FCW', '2KRI', '2LGP', '2M7P', '2MG9', '2W2M', '2W2N', '2W2O', '2W2P', '2W2Q', '3BPS', '3GCW', '3GCX', '3M0C', '3P5B', '3P5C', '3SO6', '4NE9', '5OY9', '5OYL']",low density lipoprotein receptor
51,LFA-1,itgal,100495488,,,integrin subunit alpha L
52,LH beta,lh,249585,,,late hatching
53,MEF2A,MEF2A,4205,ENSG00000068305,"['1C7U', '1EGW', '1LEW', '3KOV', '3MU6', '3P57', '6BYY', '6BZ1']",myocyte enhancer factor 2A
54,MSH2,MSH2,4436,ENSG00000095002,"['2O8B', '2O8C', '2O8D', '2O8E', '2O8F', '3THW', '3THX', '3THY', '3THZ']",mutS homolog 2
55,Megalin,megalin,GMOY005379,GMOY005379,,
56,MyD118,Gadd45b,17873,ENSMUSG00000015312,,growth arrest and DNA-damage-inducible 45 beta
57,NF-E2,nf-e2,778690,ENSCING00000003373,,transcription factor protein
58,NudC,NUDC,10726,ENSG00000090273,3QOR,"nuclear distribution C, dynein complex regulator"
59,OX1R,Hcrtr1,117709045,,,hypocretin receptor 1
60,PG-M,Vcan,13003,ENSMUSG00000021614,,versican
61,PIAS1,PIAS1,8554,ENSG00000033800,1V66,protein inhibitor of activated STAT 1
62,PIASxalpha,Pias2,17344,ENSMUSG00000025423,,protein inhibitor of activated STAT 2
63,PTP-1C,ptpn6,100144699,ENSXETG00000023918,,protein tyrosine phosphatase non-receptor type 6
64,PTP-PEST,ptpn12.S,431887,,,protein tyrosine phosphatase non-receptor type 12 S homeolog
65,Pinin,Pnn,18949,ENSMUSG00000020994,,pinin
66,Plk1,PLK1,5347,ENSG00000166851,"['1Q4K', '1Q4O', '1UMW', '2OGQ', '2OJX', '2OU7', '2OWB', '2RKU', '2V5Q', '2YAC', '3BZI', '3C5L', '3FC2', '3FVH', '3HIH', '3HIK', '3KB7', '3P2W', '3P2Z', '3P34', '3P35', '3P36', '3P37', '3Q1I', '3RQ7', '3THB', '4A4L', '4A4O', '4DFW', '4E67', '4E9C', '4E9D', '4H5X', '4H71', '4HAB', '4HCO', '4HY2', '4J52', '4J53', '4LKL', '4LKM', '4O56', '4O6W', '4O9W', '4RCP', '4WHH', '4WHK', '4WHL', '4X9R', '4X9V', '4X9W', '5J19', '5NEI', '5NFU', '5NJE', '5NMM', '5NN1', '5NN2', '5TA6', '5TA8', '6AX4', '6GY2']",polo like kinase 1
67,RANTES,SPAPADRAFT_54818,18871891,,,Rantes
68,Rac1,RAC1,5879,ENSG00000136238,"['1E96', '1FOE', '1G4U', '1HE1', '1HH4', '1I4D', '1I4L', '1I4T', '1MH1', '1RYF', '1RYH', '2FJU', '2H7V', '2NZ8', '2P2L', '2RMK', '2VRW', '2WKP', '2WKQ', '2WKR', '2YIN', '3B13', '3BJI', '3RYT', '3SBD', '3SBE', '3SU8', '3SUA', '3TH5', '4GZL', '4GZM', '4YON', '5FI0', '5HZH', '5N6O', '5O33', '5QQD', '5QQE', '5QQF', '5QQG', '5QQH', '5QQI', '5QQJ', '5QQK', '5QQL', '5QQM', '5QQN', '5QU9', '6AGP', '6BC1', '6TGC', '6X1G', '7AJK']",Rac family small GTPase 1
69,Rad17,RAD17,5884,,,RAD17 checkpoint clamp loader component
70,Raf1,RAF1,5894,ENSG00000132155,"['1C1Y', '1FAQ', '1FAR', '1GUA', '1RFA', '3CU8', '3IQJ', '3IQU', '3IQV', '3KUC', '3KUD', '3NKX', '3O8I', '3OMV', '4FJ3', '4G0N', '4G3X', '4IEA', '4IHL', '6NTC', '6NTD', '6PTS', '6PTW', '6VJJ', '6XGU', '6XGV', '6XHA', '6XHB', '6XI7', '7JHP']","Raf-1 proto-oncogene, serine/threonine kinase"
71,SMC,smc,20590,,,spondylo-metaphyseal chondrodysplasia
72,SRC-1,src-1,171722,WBGene00005077,,Tyrosine protein-kinase src-1
73,SRcyp,Ppig,228005,ENSMUSG00000042133,,peptidyl-prolyl isomerase G (cyclophilin G)
74,SRm300,BOVATA_028760,39875153,,,"splicing coactivator subunit srm300, putative"
75,SRp75,PSEUBRA_SCAF18g04794,27418112,,,alternative splicing factor SRp55/B52/SRp75
76,STAT3,STAT3,6774,ENSG00000168610,"['5AX3', '5U5S', '6NJS', '6NUQ', '6QHD', '6TLC']",signal transducer and activator of transcription 3
77,SUMO-1,sumo-1,100136592,,,small ubiquitin-related protein 1
78,Shp-2,Bma-shp-2,WBGene00228973,,,
79,Siglec-1,LOC101341847,101341847,,,SIGLEC family-like protein 1
80,TAF(II)250,Taf1,40813,FBgn0010355,1TBA,TBP-associated factor 1
81,TBP,TBP,6908,ENSG00000112592,"['1C9B', '1CDW', '1JFI', '1NVP', '1TGH', '4ROC', '4ROD', '4ROE', '5FUR', '5IY6', '5IY7', '5IY8', '5IY9', '5IYA', '5IYB', '5IYC', '5IYD', '5N9G', '6MZD', '6MZL', '6MZM', '6O9L', '7EDX', '7EG7', '7EG8', '7EG9', '7EGA', '7EGB', '7EGC', '7EGD', '7EGE', '7EGF', '7EGI', '7EGJ', '7ENA', '7ENC', '7LBM', '7NVR', '7NVS', '7NVT', '7NVU', '7NVY', '7NVZ', '7NW0']",TATA-box binding protein
82,TBP-1,tbp-1,176054,WBGene00006542,,TATA-box-binding protein
83,TFIIIC,tfIIIC,10447076,,,TATA binding protein of transcription factor IIIC
84,TFIIIC102,gtf3c3.S,108712614,,,general transcription factor IIIC subunit 3 S homeolog
85,TFIIIC63,Gtf3c5,70239,ENSMUSG00000026816,,"general transcription factor IIIC, polypeptide 5"
86,Tyk-2,LOC395741,395741,,,tyrosine kinase 2
87,VHL,VHL,7428,ENSG00000134086,"['1LM8', '1LQB', '1VCB', '3ZRC', '3ZRF', '3ZTC', '3ZTD', '3ZUN', '4AJY', '4AWJ', '4B95', '4B9K', '4BKS', '4BKT', '4W9C', '4W9D', '4W9E', '4W9F', '4W9G', '4W9H', '4W9I', '4W9J', '4W9K', '4W9L', '4WQO', '5LLI', '5N4W', '5NVV', '5NVW', '5NVX', '5NVY', '5NVZ', '5NW0', '5NW1', '5NW2', '5T35', '6BVB', '6FMI', '6FMJ', '6FMK', '6GFX', '6GFY', '6GFZ', '6GMN', '6GMQ', '6GMR', '6GMX', '6HAX', '6HAY', '6HR2', '6I7Q', '6I7R', '6R6H', '6R7F', '6SIS', '6ZHC', '7KHH']",von Hippel-Lindau tumor suppressor
88,androgen receptor,RECEPTOR,443145,,,neuropilin-1
89,apoB,APOB,338,ENSG00000084674,,apolipoprotein B
90,biglycan,BGN,633,ENSG00000182492,,biglycan
91,c-myc,c-myc,110535641,ENSOMYG00000039293,,transcriptional regulator Myc-like
92,cubilin,CUBN,8029,ENSG00000107611,"['3KQ4', '6GJE']",cubilin
93,cystatin alpha,CYSTATIN,547777,GLYMA_15G227500,,cysteine proteinase inhibitor
94,cytidine deaminase,CDA,978,ENSG00000158825,1MQ0,cytidine deaminase
95,cytohesin-1,CYTH1,9267,ENSG00000108669,"['1BC9', '4A4P']",cytohesin 1
96,decorin,DCN,1634,ENSG00000011465,,decorin
97,glutathione-S-transferase,glutathione-S-transferase,HORVU.MOREX.r3.5HG0516720,HORVU.MOREX.r3.5HG0516720,,
98,heparan sulfate proteoglycan,HSPG2,3339,ENSG00000142798,"['3SH4', '3SH5']",heparan sulfate proteoglycan 2
99,histone deacetylase-1,Histone,3238920,,,hypothetical protein
100,homodimer,Tgfb3,21809,ENSMUSG00000021253,,"transforming growth factor, beta 3"
101,involucrin,IVL,3713,ENSG00000163207,1EU0,involucrin
102,loricrin,LORICRIN,4014,ENSG00000203782,,loricrin cornified envelope precursor protein
103,monocyte chemotactic protein-1,LOC101938916,101938916,,,monocyte chemotactic protein 1B
104,orexin 1 receptor,RECEPTOR,443145,,,neuropilin-1
105,p120(ctn),ctnnd1.L,398490,,,catenin delta 1 L homeolog
106,p300,EP300,2033,ENSG00000100393,"['1L3E', '1P4Q', '2K8F', '2MH0', '2MZD', '3BIY', '3I3J', '3IO2', '3P57', '3T92', '4BHW', '4PZR', '4PZS', '4PZT', '5BT3', '5KJ2', '5LKT', '5LKU', '5LKX', '5LKZ', '5LPK', '5LPM', '5NU5', '5XZC', '6DS6', '6FGN', '6FGS', '6GYR', '6GYT', '6K4N', '6PF1', '6PGU', '6V8B', '6V8K', '6V8N', '6V90', '7LJE']",E1A binding protein p300
107,p85alpha,Pik3r1,18708,ENSMUSG00000041417,,phosphoinositide-3-kinase regulatory subunit 1
108,pVHL,VHL,494000,ENSCAFG00845008162,,von Hippel-Lindau tumor suppressor
109,paxillin,PXN,5829,ENSG00000089159,"['1KKY', '1KL0', '1OW6', '1OW7', '1OW8', '2K2R', '2O9V', '2VZD', '2VZG', '2VZI', '3GM1', '3PY7', '3RQE', '3RQF', '3RQG', '3U3F', '4EDN', '4R32', '4XGZ', '4XH2', '5UWH', '6IUI', '6PW8', '6U4M', '6U4N']",paxillin
110,peroxisome proliferator-activated receptor gamma,RECEPTOR,443145,,,neuropilin-1
111,phosphatidylinositol 3-kinase,PIK3C3,5289,ENSG00000078142,"['3IHY', '3LS8', '4OYS', '4PH4', '4UWF', '4UWG', '4UWH', '4UWK', '4UWL', '5ANL', '5ENN', '6I3U', '6YKG', '7BL1']",phosphatidylinositol 3-kinase catalytic subunit type 3
112,phosphatidylinositol-3 kinase,PIK3C3,5289,ENSG00000078142,"['3IHY', '3LS8', '4OYS', '4PH4', '4UWF', '4UWG', '4UWH', '4UWK', '4UWL', '5ANL', '5ENN', '6I3U', '6YKG', '7BL1']",phosphatidylinositol 3-kinase catalytic subunit type 3
113,phospholipase C-gamma1,LOC109644530,109644530,,,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1-like"
114,pleckstrin,PLEK,5341,ENSG00000115956,"['1PLS', '1W4M', '1X05', '1XX0', '1ZM0', '2CSO', '2I5C', '2I5F']",pleckstrin
115,protein tyrosine phosphatase 1C,ptpn6,100144699,ENSXETG00000023918,,protein tyrosine phosphatase non-receptor type 6
116,raf1,RAF1,5894,ENSG00000132155,"['1C1Y', '1FAQ', '1FAR', '1GUA', '1RFA', '3CU8', '3IQJ', '3IQU', '3IQV', '3KUC', '3KUD', '3NKX', '3O8I', '3OMV', '4FJ3', '4G0N', '4G3X', '4IEA', '4IHL', '6NTC', '6NTD', '6PTS', '6PTW', '6VJJ', '6XGU', '6XGV', '6XHA', '6XHB', '6XI7', '7JHP']","Raf-1 proto-oncogene, serine/threonine kinase"
117,receptor protein tyrosine phosphatase,RECEPTOR,443145,,,neuropilin-1
118,receptor-like protein tyrosine phosphatase,LOC104026139,104026139,,,receptor-type tyrosine-protein phosphatase alpha-like
119,versican,VCAN,1462,ENSG00000038427,,versican
